Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Číslo politického subjektu,Názov politického subjektu,Počet platných hlasov,Podiel platných hlasov v %,"Počet voličov, ktorí využili právo prednostného hlasovania","Podiel voličov, ktorí využili právo prednostného hlasovania v %"
1,Bratislavský kraj,103,Pezinok,16,SMER - sociálna demokracia,8797,21.35,7227,82.15
1,Bratislavský kraj,103,Pezinok,17,HLAS - sociálna demokracia,5097,12.37,4043,79.32
1,Bratislavský kraj,103,Pezinok,18,SZÖVETSÉG - Magyarok,21,0.05,16,76.19
1,Bratislavský kraj,103,Pezinok,19,SRDCE vlastenci a dôchodcovia,45,0.1,23,51.11
1,Bratislavský kraj,103,Pezinok,20,SDKU - DS,9,0.02,5,55.55
1,Bratislavský kraj,103,Pezinok,21,Kotlebovci - Ľudová strana Naše Slovensko,288,0.69,245,85.06
1,Bratislavský kraj,103,Pezinok,22,Demokrati,1760,4.27,1483,84.26
1,Bratislavský kraj,103,Pezinok,23,Kresťanskodemokratické hnutie,2198,5.33,1546,70.33
1,Bratislavský kraj,103,Pezinok,24,KARMA,55,0.13,33,60.0
1,Bratislavský kraj,103,Pezinok,25,REPUBLIKA,1656,4.02,1379,83.27
1,Bratislavský kraj,104,Senec,1,Pirátska strana - Slovensko,145,0.24,101,69.65
1,Bratislavský kraj,104,Senec,2,PRINCÍP,20,0.03,15,75.0
1,Bratislavský kraj,104,Senec,3,Progresívne Slovensko,16177,27.57,12104,74.82
1,Bratislavský kraj,104,Senec,4,SPOLOČNE OBČANIA SLOVENSKA,32,0.05,17,53.12
1,Bratislavský kraj,104,Senec,5,OĽANO A PRIATELIA,4530,7.72,3859,85.18
1,Bratislavský kraj,104,Senec,6,Komunistická strana Slovenska,113,0.19,68,60.17
1,Bratislavský kraj,104,Senec,7,Maďarské fórum,100,0.17,88,88.0
1,Bratislavský kraj,104,Senec,8,Vlastenecký blok,21,0.03,15,71.42
1,Bratislavský kraj,104,Senec,9,"Modrí, Most - Híd",198,0.33,156,78.78
1,Bratislavský kraj,104,Senec,10,SPRAVODLIVOSŤ,16,0.02,12,75.0
1,Bratislavský kraj,104,Senec,11,Slovenské Hnutie Obrody,35,0.05,27,77.14
1,Bratislavský kraj,104,Senec,12,Sloboda a Solidarita,6836,11.65,5696,83.32
1,Bratislavský kraj,104,Senec,13,SME RODINA,1321,2.25,1091,82.58
1,Bratislavský kraj,104,Senec,14,MySlovensko,58,0.09,46,79.31
1,Bratislavský kraj,104,Senec,15,Slovenská národná strana,2420,4.12,2134,88.18
1,Bratislavský kraj,104,Senec,16,SMER - sociálna demokracia,10231,17.44,8492,83.0
1,Bratislavský kraj,104,Senec,17,HLAS - sociálna demokracia,6285,10.71,5168,82.22
1,Bratislavský kraj,104,Senec,18,SZÖVETSÉG - Magyarok,2323,3.96,1938,83.42
1,Bratislavský kraj,104,Senec,19,SRDCE vlastenci a dôchodcovia,29,0.04,22,75.86
1,Bratislavský kraj,104,Senec,20,SDKU - DS,9,0.01,4,44.44
1,Bratislavský kraj,104,Senec,21,Kotlebovci - Ľudová strana Naše Slovensko,296,0.5,264,89.18
1,Bratislavský kraj,104,Senec,22,Demokrati,2569,4.37,2234,86.95
1,Bratislavský kraj,104,Senec,23,Kresťanskodemokratické hnutie,2887,4.92,2215,76.72
1,Bratislavský kraj,104,Senec,24,KARMA,36,0.06,26,72.22
1,Bratislavský kraj,104,Senec,25,REPUBLIKA,1968,3.35,1706,86.68
2,Trnavský kraj,201,Dunajská Streda,1,Pirátska strana - Slovensko,178,0.28,145,81.46
2,Trnavský kraj,201,Dunajská Streda,2,PRINCÍP,16,0.02,11,68.75
2,Trnavský kraj,201,Dunajská Streda,3,Progresívne Slovensko,8261,13.24,6244,75.58
2,Trnavský kraj,201,Dunajská Streda,4,SPOLOČNE OBČANIA SLOVENSKA,33,0.05,19,57.57
2,Trnavský kraj,201,Dunajská Streda,5,OĽANO A PRIATELIA,4756,7.62,4010,84.31
2,Trnavský kraj,201,Dunajská Streda,6,Komunistická strana Slovenska,65,0.1,47,72.3
2,Trnavský kraj,201,Dunajská Streda,7,Maďarské fórum,557,0.89,473,84.91
2,Trnavský kraj,201,Dunajská Streda,8,Vlastenecký blok,25,0.04,19,76.0
2,Trnavský kraj,201,Dunajská Streda,9,"Modrí, Most - Híd",1119,1.79,947,84.62
2,Trnavský kraj,201,Dunajská Streda,10,SPRAVODLIVOSŤ,13,0.02,8,61.53
2,Trnavský kraj,201,Dunajská Streda,11,Slovenské Hnutie Obrody,7,0.01,5,71.42
2,Trnavský kraj,201,Dunajská Streda,12,Sloboda a Solidarita,2041,3.27,1713,83.92
2,Trnavský kraj,201,Dunajská Streda,13,SME RODINA,874,1.4,738,84.43
2,Trnavský kraj,201,Dunajská Streda,14,MySlovensko,15,0.02,10,66.66
2,Trnavský kraj,201,Dunajská Streda,15,Slovenská národná strana,846,1.35,773,91.37
2,Trnavský kraj,201,Dunajská Streda,16,SMER - sociálna demokracia,8282,13.27,7057,85.2
2,Trnavský kraj,201,Dunajská Streda,17,HLAS - sociálna demokracia,3689,5.91,3096,83.92
2,Trnavský kraj,201,Dunajská Streda,18,SZÖVETSÉG - Magyarok,28921,46.37,24980,86.37
2,Trnavský kraj,201,Dunajská Streda,19,SRDCE vlastenci a dôchodcovia,24,0.03,15,62.5
2,Trnavský kraj,201,Dunajská Streda,20,SDKU - DS,10,0.01,7,70.0
2,Trnavský kraj,201,Dunajská Streda,21,Kotlebovci - Ľudová strana Naše Slovensko,170,0.27,147,86.47
2,Trnavský kraj,201,Dunajská Streda,22,Demokrati,743,1.19,620,83.44
2,Trnavský kraj,201,Dunajská Streda,23,Kresťanskodemokratické hnutie,674,1.08,520,77.15
2,Trnavský kraj,201,Dunajská Streda,24,KARMA,17,0.02,11,64.7
2,Trnavský kraj,201,Dunajská Streda,25,REPUBLIKA,1029,1.64,890,86.49
2,Trnavský kraj,202,Galanta,1,Pirátska strana - Slovensko,162,0.31,109,67.28
2,Trnavský kraj,202,Galanta,2,PRINCÍP,26,0.05,23,88.46
2,Trnavský kraj,202,Galanta,3,Progresívne Slovensko,7126,14.04,5089,71.41
2,Trnavský kraj,202,Galanta,4,SPOLOČNE OBČANIA SLOVENSKA,56,0.11,32,57.14
2,Trnavský kraj,202,Galanta,5,OĽANO A PRIATELIA,5225,10.29,4510,86.31
2,Trnavský kraj,202,Galanta,6,Komunistická strana Slovenska,215,0.42,153,71.16
