Číslo politického subjektu,Názov politického subjektu,Poradie na hlasovacom lístku,Meno,Priezvisko,Titul,Vek,Zamestnanie,Obec trvalého pobytu,Poznámka
1,Pirátska strana - Slovensko,1,Zuzana,Šubová,Ing.,54,ekonómka,Bratislava,
1,Pirátska strana - Slovensko,2,Michal,Pírek,"Mgr., PhD.",45,historik,Hamuliakovo,
1,Pirátska strana - Slovensko,3,Dajana,Maxian Rosová,Ing.,41,ekonómka,Stupava,
1,Pirátska strana - Slovensko,4,Ján,Berceli,PhDr.,43,podnikateľ,Kútniky,
1,Pirátska strana - Slovensko,5,Dagmar,Kačíreková,Ing.,44,geodetka,Topoľčany,
1,Pirátska strana - Slovensko,6,Veronika,Kvetáková,Ing.,46,projektová manažérka,Bratislava,
1,Pirátska strana - Slovensko,7,Drahomír,Širůčka,JUDr.,58,štátny zamestnanec,Rimavská Sobota,
1,Pirátska strana - Slovensko,8,Lenka,Hamšíková,Mgr.,43,riaditeľka umeleckého festivalu,Bratislava,
1,Pirátska strana - Slovensko,9,Juraj,Krátky,Ing.,54,projektový manažér,Žiar nad Hronom,
1,Pirátska strana - Slovensko,10,Martin,Eštočák,JUDr.,34,poslanec mestského zastupiteľstva,Prešov,
1,Pirátska strana - Slovensko,11,Peter,Uličný,,65,hudobník,Bratislava,
1,Pirátska strana - Slovensko,12,Dana,Miri,MUDr.,60,primárka rehabilitačného oddelenia,Rimavská Sobota,
1,Pirátska strana - Slovensko,13,Iveta,Klačanská,,40,profesionálna trénerka,Topoľčany,
1,Pirátska strana - Slovensko,14,Jaroslav,Nosaľ,"Mgr., MSc., LL.M.",45,informatik,Vyšná Šebastová,
1,Pirátska strana - Slovensko,15,Norbert,Astaloš,Ing.,44,štátny zamestnanec,Rimavská Sobota,
1,Pirátska strana - Slovensko,16,Karolína,Ivanová,Ing.,59,profesionálna koučka,Dunajská Lužná,
1,Pirátska strana - Slovensko,17,Alexander,Máteffy,,52,podnikateľ,Bratislava,
1,Pirátska strana - Slovensko,18,Benjamín,Schlesinger,MgA,31,stredoškolský učiteľ,Sabinov,
1,Pirátska strana - Slovensko,19,Milena,Moravcová,Mgr.,60,ekonómka,Bratislava,
1,Pirátska strana - Slovensko,20,Branislava,Pírková,MDDr.,36,zubná lekárka,Hamuliakovo,
1,Pirátska strana - Slovensko,21,Sandra,Morgošová,Bc.,26,študentka,Turany,
1,Pirátska strana - Slovensko,22,Katarína,Ringelband,Bc.,53,medicínska konzultantka,Bratislava,
1,Pirátska strana - Slovensko,23,Ľubica,Peerová,Ing.,57,učiteľka,Bratislava,
1,Pirátska strana - Slovensko,24,Martin,Kresák,Ing.,32,elektrotechnik,Košice,
1,Pirátska strana - Slovensko,25,Rastislav,Dubovský,Mgr.,43,živnostník,Bratislava,
1,Pirátska strana - Slovensko,26,Slavka,Švantnerová,Mgr.,56,učiteľka,Hrachovo,
1,Pirátska strana - Slovensko,27,Lucia,Appelová,Bc.,37,administratívna pracovníčka,Stupava,
1,Pirátska strana - Slovensko,28,Filip,Kulich,"Ing., DiS.",31,konštruktér,Švošov,
1,Pirátska strana - Slovensko,29,Beáta,Drdáková,MUDr.,39,oftalmologička,Švošov,
1,Pirátska strana - Slovensko,30,Rudolf,Molnár,,45,diagnostik IT,Šenkvice,
1,Pirátska strana - Slovensko,31,Natália,Ivasiuková,Ing.,59,odborná radkyňa,Prešov,
1,Pirátska strana - Slovensko,32,Sylvia,Bolechová,,49,účtovníčka,Kálnica,
1,Pirátska strana - Slovensko,33,Eva,Uričová,,65,dôchodkyňa,Bratislava,
1,Pirátska strana - Slovensko,34,Zdeno,Belanský,,49,IT špecialista,Bratislava,
1,Pirátska strana - Slovensko,35,Stanislav,Bednár,,52,elektrotechnik,Považská Bystrica,
1,Pirátska strana - Slovensko,36,Slavomíra,Krátka,DiS.art.,51,pedagogička,Žiar nad Hronom,
1,Pirátska strana - Slovensko,37,Juraj,Bittmann,,25,živnostník,Žiar nad Hronom,
1,Pirátska strana - Slovensko,38,Juraj,Rác,,40,realitný konzultant,Stupava,
1,Pirátska strana - Slovensko,39,Veronika,Ovádeková,,54,referentka,Vlčany,
1,Pirátska strana - Slovensko,40,Peter,Pavol,Bc.,24,"živnostník, študent",Poprad,
1,Pirátska strana - Slovensko,41,Pavol,Drdák,,39,stolár,Švošov,
1,Pirátska strana - Slovensko,42,Patrik,Novotný,,28,referent,Bratislava,
1,Pirátska strana - Slovensko,43,Jarmila,Miškusová,,55,podnikateľka,Príbovce,
1,Pirátska strana - Slovensko,44,Ondrej,Forgáč,,31,opatrovateľ,Humenné,
1,Pirátska strana - Slovensko,45,Renáta,Gábrišová,,54,živnostníčka,Jablonec,
1,Pirátska strana - Slovensko,46,Tomáš,Bodó,,41,podnikateľ,Bratislava,
1,Pirátska strana - Slovensko,47,Július,Vrábeľ,Ing.,60,živnostník,Rimavská Sobota,
1,Pirátska strana - Slovensko,48,Daniel,Mego,,43,projektový manažér,Pezinok,
1,Pirátska strana - Slovensko,49,Stanislav,Repčák,,49,technik,Krompachy,
1,Pirátska strana - Slovensko,50,Štefan,Wimmer,,67,dôchodca,Bratislava,
1,Pirátska strana - Slovensko,51,Milan,Hrabko,,37,pracovník bezpečnostnej služby,Banská Štiavnica,
1,Pirátska strana - Slovensko,52,Iveta,Rusznyáková,,54,technická pracovníčka,Bratislava,
1,Pirátska strana - Slovensko,53,Marek,Kvak,,33,zdravotnícky pracovník,Mudroňovo,
1,Pirátska strana - Slovensko,54,Vladimír,Kaplin,,35,stolár,Bratislava,
1,Pirátska strana - Slovensko,55,Anna,Brezániová,,62,štátna zamestnankyňa,Rimavská Sobota,
1,Pirátska strana - Slovensko,56,Erik,Lackovič,,24,šofér,Bratislava,
1,Pirátska strana - Slovensko,57,Jozef,Brezovský,,56,novinár,Bratislava,
1,Pirátska strana - Slovensko,58,Ľuboš,Noga,,45,zásobovač,Pezinok,
1,Pirátska strana - Slovensko,59,Pavol,Zedník,,53,šofér,Bratislava,
1,Pirátska strana - Slovensko,60,Anton,Pižurný,,62,spisovateľ,Banská Štiavnica,
2,PRINCÍP,1,Atila,Géňa,,45,starosta,Žehňa,X
2,PRINCÍP,2,Alfonz,Kaliaš,Mgr.,59,konateľ,Vranov nad Topľou,
2,PRINCÍP,3,Mikuláš,Vareha,,61,výsluhový dôchodca,Malá Tŕňa,
2,PRINCÍP,4,Marián,Geci,Ing.,53,živnostník,Roztoky,
2,PRINCÍP,5,Katarína,Marcišová,,39,manažérka,Košice,
2,PRINCÍP,6,Helena,Laliková,,60,živnostníčka,Roštár,
2,PRINCÍP,7,Jozef,Petráš,,54,konateľ firmy,Miňovce,
2,PRINCÍP,8,Atila,Oláh,,50,živnostník,Fiľakovo,
2,PRINCÍP,9,Nikoleta,Balogová,,37,živnostníčka,Streda nad Bodrogom,
2,PRINCÍP,10,Jozef,Petráš,Ing.,29,nezamestnaný,Miňovce,
2,PRINCÍP,11,Michal,Fízik,,45,živnostník,Zvolen,
2,PRINCÍP,12,František,Koscs,,55,súkromný podnikateľ,Bratislava,
2,PRINCÍP,13,Patrik,Timčík,,43,robotník,Krompachy,
2,PRINCÍP,14,Alfonz,Kaliaš,Mgr.,37,terénny sociálny pracovník,Vranov nad Topľou,
2,PRINCÍP,15,Ivan,Kovanda,Ing.,66,dôchodca,Slovenská Ľupča,
2,PRINCÍP,16,Marián,Veselský,,54,konateľ firmy,Stropkov,
2,PRINCÍP,17,Peter,Červeňák,Ing.,37,štatutár OZ,Roštár,
2,PRINCÍP,18,Rudolf,Felšöci,,57,súkromný podnikateľ,Lekárovce,
2,PRINCÍP,19,Radovan,Levický,,44,konateľ firmy,Stropkov,
2,PRINCÍP,20,Martin,Makula,,41,hudobník,Malčice,
2,PRINCÍP,21,Jana,Haňaková,DiS. art,51,tanečná pedagogička ZUŠ,Svidník,
2,PRINCÍP,22,Róbert,Fráter,,30,hudobník,Sabinov,
2,PRINCÍP,23,Laura,Ninčáková,,26,nezamestnaná,Snina,
2,PRINCÍP,24,Viktor,Polhoš,,61,operátor výroby,Veľká Lomnica,
2,PRINCÍP,25,Viera,Handi,,54,administratívna pracovníčka,Trnava,
2,PRINCÍP,26,Martin,Juhas,Ing. Bc.,31,nezamestnaný,Radoma,
2,PRINCÍP,27,Karel,Váradi,,68,starosta,Bulhary,X
2,PRINCÍP,28,Michal,Micaj,,59,výsluhový dôchodca,Kalinov,
2,PRINCÍP,29,Silvia,Danková,,40,operátorka výroby,Smolnícka Huta,
2,PRINCÍP,30,Ladislav,Varecha,,57,živnostník,Medzilaborce,
2,PRINCÍP,31,Ľubomír,Havrilec,,52,živnostník - murár,Zubné,
2,PRINCÍP,32,Jozef,Petraš,,59,živnostník,Vislava,
2,PRINCÍP,33,Monika,Davidová,,53,operátorka výroby,Humenné,
2,PRINCÍP,34,Ľubomír,Korchan,,64,dôchodca,Spišské Podhradie,
2,PRINCÍP,35,Lukáš,Tomaško,,30,robotník,Gelnica,
2,PRINCÍP,36,Ján,Tancoš,,53,podnikateľ,Zámutov,
2,PRINCÍP,37,Štefan,Hozza,,59,vodič MKD,Nálepkovo,
2,PRINCÍP,38,Jaroslava,Marinaková,,60,invalidná dôchodkyňa,Chmeľov,
2,PRINCÍP,39,Patrik,Adam,,32,živnostník,Košice,
2,PRINCÍP,40,Miroslav,Juhász,,57,nezamestnaný,Košice,
2,PRINCÍP,41,Marek,Sedlák,,37,operátor výroby,Prakovce,
2,PRINCÍP,42,Jozef,Červeňák,,38,podnikateľ,Roštár,
2,PRINCÍP,43,Ľubomír,Žolna,,58,podnikateľ,Humenné,
2,PRINCÍP,44,Jaroslava,Basová,,51,upratovačka,Brezovka,
2,PRINCÍP,45,Zdeno,Pompa,,41,podnikateľ,Veľká Lomnica,
2,PRINCÍP,46,Viktor,Gaško,Ing.,33,nezamestnaný,Vinné,
2,PRINCÍP,47,Ján,Šmajda,,55,invalidný dôchodca,Miňovce,
2,PRINCÍP,48,Peter,Horváth,,36,živnostník,Žehňa,
2,PRINCÍP,49,Rudolf,Motýl,,30,podnikateľ,Košice,
2,PRINCÍP,50,Vanesa,Gregová,,26,robotníčka,Prakovce,
2,PRINCÍP,51,Rudolf,Mačo,,37,skladník,Žehňa,
2,PRINCÍP,52,Peter,Pavlinský,,40,živnostník,Závada,
2,PRINCÍP,53,Marián,Kapa,,55,vodič z povolania,Miňovce,
2,PRINCÍP,54,Daniel,Balog,,28,vodár,Tuhrina,
2,PRINCÍP,55,Alexej,Hanko,,22,súkromný podnikateľ,Košice,
2,PRINCÍP,56,Zdena,Vencelová,,53,sanitárka,Gelnica,
2,PRINCÍP,57,Stanislav,Feko,,35,operátor výroby,Červenica,
2,PRINCÍP,58,Ján,Dudáš,,41,mechanik,Borša,
2,PRINCÍP,59,Andrea,Irdzová,,41,opatrovateľka,Volica,
2,PRINCÍP,60,Andrej,Danečko,Ing.,64,dôchodca,Košice,
2,PRINCÍP,61,Martina,Fedor Bučková,Mgr.,38,sociálna pracovníčka,Gelnica,X
2,PRINCÍP,62,Patrik,Kollár,,25,živnostník,Gelnica,
2,PRINCÍP,63,Diana,Schützová,Mgr.,26,CVČ - vychovávateľka,Gelnica,X
2,PRINCÍP,64,Gabriel,Pajunk,,28,software engineer,Snina,X
2,PRINCÍP,65,Paulína,Kollárová,,45,opatrovateľka,Gelnica,
2,PRINCÍP,66,Eva,Ninčáková,,49,opatrovateľka,Snina,
2,PRINCÍP,67,Alena,Kundratová,,46,asistentka predaja,Lipany,
2,PRINCÍP,68,Andrej,Kaputa,Mgr.,76,dôchodca,Svidník,
2,PRINCÍP,69,Jozef,Leľo,,71,dôchodca,Havranec,
2,PRINCÍP,70,Miroslava,Jancurová,,38,opatrovateľka,Malá Poľana,
3,Progresívne Slovensko,1,Michal,Šimečka,DPhil,39,podpredseda europarlamentu,Bratislava,
3,Progresívne Slovensko,2,Lucia,Plaváková,"JUDr., PhD.",39,advokátka,Bratislava,
3,Progresívne Slovensko,3,Michal,Truban,Ing.,39,"podnikateľ, športovec",Bratislava,
3,Progresívne Slovensko,4,Tamara,Stohlová,MSc,34,environmentalistka,Bratislava,
3,Progresívne Slovensko,5,Tomáš,Valášek,M.A.,51,poslanec parlamentu,Bratislava,
3,Progresívne Slovensko,6,Zora,Jaurová,Mgr. art.,50,"producentka, expertka na kultúru",Bratislava,
3,Progresívne Slovensko,7,Ivan,Štefunko,Mgr.,46,podnikateľ,Bratislava,
3,Progresívne Slovensko,8,Simona,Petrík,Mgr.,40,podpredsedníčka samosprávneho kraja,Bratislava,
3,Progresívne Slovensko,9,Michal,Wiezik,"doc. Ing., PhD.",44,europoslanec,Zvolen,
3,Progresívne Slovensko,10,Irena,Bihariová,Mgr.,43,právnička,Trnava,
3,Progresívne Slovensko,11,Štefan,Kišš,"Ing., MSc.",41,ekonóm,Bratislava,
3,Progresívne Slovensko,12,Ingrid,Kosová,"Ing. Bc., PhD.",48,manažérka škôl a školských zariadení,Sielnica,
3,Progresívne Slovensko,13,Oskar,Dvořák,Mgr.,32,expert na zdravotníctvo,Bratislava,
3,Progresívne Slovensko,14,Beáta,Jurík,Mgr. et Mgr.,33,právnička,Zvolen,
3,Progresívne Slovensko,15,Jaroslav,Spišiak,JUDr.,58,bezpečnostný expert,Veľké Dvorníky,
3,Progresívne Slovensko,16,Jana,Hanuliaková,Mgr.,42,manažérka dopravy,Abrahám,
3,Progresívne Slovensko,17,Michal,Sabo,Mgr.,41,podpredseda samosprávneho kraja,Bratislava,
3,Progresívne Slovensko,18,Zuzana,Mesterová,JUDr.,33,právnička,Košice,
3,Progresívne Slovensko,19,Ondrej,Prostredník,"doc. Mgr., PhD.",60,"teológ, tlmočník",Pezinok,
3,Progresívne Slovensko,20,Zuzana,Števulová,JUDr.,40,právnička,Bystrička,
3,Progresívne Slovensko,21,Martin,Dubéci,MSc.,37,manažér kultúrneho centra,Košice,
3,Progresívne Slovensko,22,Darina,Luščíková,"Ing., PhD.",49,regionálna koordinátorka humanitárnej organizácie,Hôrka,
3,Progresívne Slovensko,23,Branislav,Vančo,JUDr.,40,právnik,Bratislava,
3,Progresívne Slovensko,24,Tina,Gažovičová,"Mgr., PhD.",36,expertka na školstvo a vzdelávanie,Bratislava,
3,Progresívne Slovensko,25,Tomáš,Hellebrandt,MSc.,41,ekonóm,Žilina,
3,Progresívne Slovensko,26,Viera,Kalmárová,PaedDr.,64,štátna zamestnankyňa,Trnava,
3,Progresívne Slovensko,27,Martin,Pekár,MBA,40,viceprezident medzinárodnej spoločnosti,Trnava,
3,Progresívne Slovensko,28,Dana,Kleinert,Mgr. art.,48,"vicestarostka pre školstvo, kultúru a sociálne veci",Bratislava,
3,Progresívne Slovensko,29,Dávid,Dej,,27,mestský poslanec,Bratislava,
3,Progresívne Slovensko,30,Veronika,Veslárová,Mgr.,35,"právnička, manažérka",Bratislava,
3,Progresívne Slovensko,31,Ján,Hargaš,Ing.,39,expert na digitalizáciu,Nová Dedinka,
3,Progresívne Slovensko,32,Veronika,Šrobová,Ing.,34,obchodná manažérka,Zuberec,
3,Progresívne Slovensko,33,Marek,Lackovič,MBA,34,starosta obce,Hviezdoslavov,
3,Progresívne Slovensko,34,Natália,Nash,PaedDr.,50,riaditeľka odboru,Bratislava,
3,Progresívne Slovensko,35,Richard,Dubovický,MBA,38,procesný IT špecialista,Prešov,
3,Progresívne Slovensko,36,Gréta,Gregorová,,22,"študentka, miestna poslankyňa",Bratislava,
3,Progresívne Slovensko,37,Peter,Brozman,Ing. Mgr.,39,"právnik, ekonóm",Banská Bystrica,
3,Progresívne Slovensko,38,Martina,Žilková,PhDr.,42,"samostatná radkyňa, odborná garantka v sociálnych službách",Malé Uherce,
3,Progresívne Slovensko,39,Branislav,Tichý,PhDr.,44,humanitárny pracovník,Bratislava,
3,Progresívne Slovensko,40,Zuzana,Prostredníková,,29,politická poradkyňa europoslanca,Pezinok,
3,Progresívne Slovensko,41,Tomáš,Bořuta,"Bc., MBA",38,riaditeľ kultúrno-vzdelávacieho centra,Považská Bystrica,
3,Progresívne Slovensko,42,Soňa,Košičiarová,"prof. JUDr., PhD.",58,vysokoškolská učiteľka,Bratislava,
3,Progresívne Slovensko,43,Adam,Sarlós,Bc.,31,"mestský poslanec, cykloaktivista",Bratislava,
3,Progresívne Slovensko,44,Katarína,Mičová,Mgr.,40,zástupkyňa školy,Holíč,
3,Progresívne Slovensko,45,Tomáš,Krjak,Bc.,23,"predseda mládežníckej organizácie, študent, živnostník",Revúca,
3,Progresívne Slovensko,46,Dana,Cervanová,Mgr.,57,profesionálny náhradný rodič,Sučany,
3,Progresívne Slovensko,47,Tibor,Forró,Mgr. Ing.,39,podnikateľ,Kolárovo,
3,Progresívne Slovensko,48,Martina,Kolláriková,Ing. arch.,52,PR konzultantka,Bratislava,
3,Progresívne Slovensko,49,Miroslav,Kocúr,"ThDr. Mgr., PhD.",54,"manažér, pedagóg",Marianka,
3,Progresívne Slovensko,50,Anna,Dojčanová,Mgr.,61,konateľka firmy,Bratislava,
3,Progresívne Slovensko,51,Sergej,Kára,Mgr.,35,riaditeľ sekcie sociálnych vecí,Bratislava,
3,Progresívne Slovensko,52,Sofia Karina,Trommlerová,PhD.,37,vedecká pracovníčka,Poprad,
3,Progresívne Slovensko,53,Milan,Laurinc,"PhDr., PhD., MPH",45,"sestra, vysokoškolský pedagogický zamestnanec",Bratislava,
3,Progresívne Slovensko,54,Eva,Kalkan,Bc.,42,"manažérka, miestna poslankyňa",Biely Kostol,
3,Progresívne Slovensko,55,Ivan,Hudcovský,,43,key account manager,Trenčín,
3,Progresívne Slovensko,56,Renata,Igľárová,,52,finančná maklérka,Liptovský Mikuláš,
3,Progresívne Slovensko,57,Milan,Polešenský,Mgr.,46,koordinátor práce s mládežou,Bratislava,
3,Progresívne Slovensko,58,Natália,Heribanová,,24,študentka,Bratislava,
3,Progresívne Slovensko,59,Marián,Mališ,Ing.,54,metodik,Ivanka pri Dunaji,
3,Progresívne Slovensko,60,Elena,Cinová,PaedDr.,50,učiteľka profesijného rozvoja,Humenné,
3,Progresívne Slovensko,61,Juraj,Gašpárek,,31,obchodno-technický riaditeľ,Považská Bystrica,
3,Progresívne Slovensko,62,Lucia,Francescato,Mgr.,41,konzultantka,Trnava,
3,Progresívne Slovensko,63,Jozef,Ľos-Božik,Bc.,25,podnikateľ,Svidník,
3,Progresívne Slovensko,64,Zuzana,Vargová,Mgr.,43,konateľka spoločnosti,Lučenec,
3,Progresívne Slovensko,65,Pavol,Troiak,Ing.,37,"zástupca starostu mestskej časti, procesný manažér",Bratislava,
3,Progresívne Slovensko,66,Ľubica,Bednárová,Mgr.,46,hlavná radkyňa,Spišská Nová Ves,
3,Progresívne Slovensko,67,Marek,Štefanisko,Mgr.,31,správca infraštruktúry,Košice,
3,Progresívne Slovensko,68,Karolína,Blunárová,,22,študentka environmentálnych štúdií a sociálnej politiky,Bratislava,
3,Progresívne Slovensko,69,Krisztián,Váradi,MUDr.,28,lekár,Dunajská Streda,
3,Progresívne Slovensko,70,Romana,Sládeková,"Mgr., PhD.",39,odborníčka pre duálne vzdelávanie,Bratislava,
3,Progresívne Slovensko,71,Timotej,Süč,,23,projektový manažér,Michalovce,
3,Progresívne Slovensko,72,Jana,Kovačovská,"Mgr., M.A.",36,podnikateľka,Pezinok,
3,Progresívne Slovensko,73,Ján,Pullman,Ing.,45,"informatik, ekonóm, mestský poslanec",Senec,
3,Progresívne Slovensko,74,Lucia,Smažáková Karabínošová,Mgr.,45,"stredoškolská učiteľka, lektorka",Šamorín,
3,Progresívne Slovensko,75,Martin,Hanes,Bc.,45,majiteľ stavebnej firmy,Banská Bystrica,
3,Progresívne Slovensko,76,Ingrida,Gorcovská,Mgr.,38,"štátna zamestnankyňa v oblasti sociálnych vecí, práce a rodiny",Veľký Šariš,
3,Progresívne Slovensko,77,Michal,Páleník,"Mgr. Ing., PhD.",44,vysokoškolský pedagóg,Bratislava,
3,Progresívne Slovensko,78,Miroslava,Vermeiren,Mgr.,39,"enviro-aktivistka, finančná analytička",Bratislava,
3,Progresívne Slovensko,79,Ondrej,Šarník,,34,IT projektový manažér,Prešov,
3,Progresívne Slovensko,80,Veronika,Kvietková,BA,25,"študentka, stážistka v prezidentskom paláci",Detva,
3,Progresívne Slovensko,81,Martin,Baloga,"Ing. arch., PhD.",42,architekt,Poprad,
3,Progresívne Slovensko,82,Henrieta,Slavkovská,Mgr.,51,advokátka,Levice,
3,Progresívne Slovensko,83,Boris,Kriško,,32,podnikateľ,Košice,X
3,Progresívne Slovensko,84,Andrea,Báťková,Bc.,23,študentka,Hriňová,
3,Progresívne Slovensko,85,Jozef,Bakša,Mgr.,50,právnik,Sliač,
3,Progresívne Slovensko,86,Paula,Vojtek,BSc.,32,projektová manažérka,Pezinok,
3,Progresívne Slovensko,87,Michal,Styk,M.A.,40,marketingový riaditeľ,Banská Bystrica,
3,Progresívne Slovensko,88,Sylvia,Pohánková,,48,bezpečnostná technička,Nitra,
3,Progresívne Slovensko,89,Michal,Švajda,,38,manažér nákupu,Žilina,
3,Progresívne Slovensko,90,Anna,Beláková,Mgr.,34,učiteľka,Bratislava,
3,Progresívne Slovensko,91,Jakub,Jochman,Ing.,33,stavebný inžinier,Poprad,
3,Progresívne Slovensko,92,Marianna,Piršelová,Mgr.,40,"permakultúrna dizajnérka, lektorka",Stupava,
3,Progresívne Slovensko,93,Václav,Papež,Mgr.,34,stredoškolský učiteľ,Štrba,
3,Progresívne Slovensko,94,Lenka,Jusko,"Ing., MBA",34,občianska aktivistka,Horná Potôň,
3,Progresívne Slovensko,95,Pavel,Kendra,Ing.,45,manažér,Bardejov,
3,Progresívne Slovensko,96,Jana,Popovičová,,59,ekonómka,Veľký Grob,
3,Progresívne Slovensko,97,Lukáš,Šauša,,34,IT analytik,Martin,
3,Progresívne Slovensko,98,Jana,Toličová,Mgr.,57,prekladateľka,Banská Bystrica,
3,Progresívne Slovensko,99,Marek,Gabonay,Mgr.,44,business development manažér,Bratislava,
3,Progresívne Slovensko,100,Zuzana,Lučkay Mihalčinová,"Mgr., PhD.",45,živnostníčka,Košice,
3,Progresívne Slovensko,101,Peter,Macsek,Mgr.,27,výskumník,Levice,
3,Progresívne Slovensko,102,Magdaléna,Kováč Mergová,Mgr.,27,marketingová koordinátorka pre internacionalizáciu vzdelávania,Banská Bystrica,
3,Progresívne Slovensko,103,Erik,Illéš,Mgr.,34,"miestny poslanec, finančný analytik",Bratislava,
3,Progresívne Slovensko,104,Janette,Langová,PhDr.,50,vedúca mestskej galérie,Prešov,
3,Progresívne Slovensko,105,Ladislav,Gála,Ing.,37,manažér,Myjava,
3,Progresívne Slovensko,106,Miroslava,Lukáčová,Mgr.,32,štátna radkyňa,Bratislava,
3,Progresívne Slovensko,107,Peter,Lošonský,Ing.,28,"projektový koordinátor turnajov apretekov, event manažér, miestny poslanec",Bratislava,
3,Progresívne Slovensko,108,Barbora,Ugorová,Mgr.,46,nezamestnaná,Trnava,
3,Progresívne Slovensko,109,Tibor,Bačinský,Ing.,30,analytik informačných technológií,Košice,
3,Progresívne Slovensko,110,Michaela,Hinnerová,Mgr.,54,hlavná účtovníčka,Budmerice,
3,Progresívne Slovensko,111,Róbert,Grega,Bc.,37,osobný bankár,Bratislava,
3,Progresívne Slovensko,112,Eva,Levrincová,Ing.,65,dôchodkyňa,Rochovce,
3,Progresívne Slovensko,113,Viktor,Pamula,,26,nezamestnaný,Spišská Nová Ves,
3,Progresívne Slovensko,114,Vanda,Prikler,Ing.,42,analytička,Bratislava,
3,Progresívne Slovensko,115,Dominik,Radler,,22,"študent, právny asistent",Zvolen,
3,Progresívne Slovensko,116,Naďa,Bohinská,Bc.,39,manažérka,Lučenec,
3,Progresívne Slovensko,117,Ľuboš,Ďubek,Mgr.,30,projektový špecialista,Rovinka,
3,Progresívne Slovensko,118,Lívia,Augustin Šimanská,JUDr.,37,právnička v zdravotníctve,Bratislava,
3,Progresívne Slovensko,119,Marek,Fúska,Ing.,49,riaditeľ počítačovej školy,Nitra,
3,Progresívne Slovensko,120,Monika,Sabanoš,"Mgr., MBA",40,rodičovská dovolenka,Šajdíkove Humence,
3,Progresívne Slovensko,121,Karol,Gubka,Ing.,45,obchodný manažér,Žiar nad Hronom,
3,Progresívne Slovensko,122,Zuzana,Čifári,,36,finančná manažérka,Bratislava,
3,Progresívne Slovensko,123,Juraj,Mikulášek,Mgr.,44,"finančný manažér, miestny poslanec",Bratislava,
3,Progresívne Slovensko,124,Oľga,Krištofíková,,53,stredoškolská učiteľka,Turany,
3,Progresívne Slovensko,125,Adam,Pekár,,36,"poslanec mestskej časti, živnostník",Bratislava,
3,Progresívne Slovensko,126,Denisa,Holečková,Ing.,40,špecialistka pre ľudské zdroje,Prešov,
3,Progresívne Slovensko,127,Igor,Holéczy,Mgr.,49,živnostník v oblasti cestovného ruchu,Košice,
3,Progresívne Slovensko,128,Gabriela,Langová,PhDr.,51,"projektová manažérka, terapeutka",Poprad,
3,Progresívne Slovensko,129,Samuel,Pekár,Bc.,25,komunitný koordinátor,Žilina,
3,Progresívne Slovensko,130,Zlatica,Miháliková,Ing.,52,konateľka,Sokoľ,
3,Progresívne Slovensko,131,Peter,Višňovský,"Mgr., MBA",32,"projektový manažér, občiansky aktivista",Fintice,
3,Progresívne Slovensko,132,Eva,Pevná,Mgr. et Mgr. art.,38,projektová manažérka,Bratislava,
3,Progresívne Slovensko,133,Radoslav,Ruso,Mgr.,37,underwriting asistent,Košice,
3,Progresívne Slovensko,134,Martina,Kačániová,Mgr.,40,podpora predaja a služieb,Lučenec,
3,Progresívne Slovensko,135,Peter,Matula,Mgr.,49,manažér pre komunikáciu a eventy,Bratislava,
3,Progresívne Slovensko,136,Katarína,Vidrová,Ing.,29,"rodičovská dovolenka, finančné a realitné poradenstvo",Bratislava,
3,Progresívne Slovensko,137,Pavol,Ištok,Mgr.,50,štátny zamestnanec,Kežmarok,
3,Progresívne Slovensko,138,Katarína,Nádaská,"Mgr., PhD.",55,úradníčka vo verejnej správe,Bratislava,
3,Progresívne Slovensko,139,Samuel,Paulini,,23,"študent, lektor",Pezinok,
3,Progresívne Slovensko,140,Diana,Kleštincová,Ing.,31,rodičovská dovolenka,Biely Kostol,
3,Progresívne Slovensko,141,Marek,Líška,Ing.,45,odborník na smart technológie,Bratislava,
3,Progresívne Slovensko,142,Adriana,Horská,,52,administratívna pracovníčka,Sereď,
3,Progresívne Slovensko,143,Dávid,Šingovský,Mgr.,38,marketingový poradca,Snina,
3,Progresívne Slovensko,144,Eva,Rusnáková,Mgr.,42,riaditeľka odboru informatiky,Bratislava,
3,Progresívne Slovensko,145,Rastislav,Karczub,,45,aplikačný špecialista,Zvolen,
3,Progresívne Slovensko,146,Tamara,Krenželáková,Mgr.,37,projektová manažérka,Golianovo,
3,Progresívne Slovensko,147,Peter,Pollák,JUDr.,41,právnik,Dunajská Streda,
3,Progresívne Slovensko,148,Jana,Velická,M.A.,27,ekonomická expertka,Bratislava,
3,Progresívne Slovensko,149,Vanda,Rogovská,"Ing., PhD.",52,analytička v poľnohospodárstve a potravinárskom priemysle,Pezinok,
3,Progresívne Slovensko,150,Jolana,Kusá,PhDr.,80,psychologická poradkyňa a dôchodkyňa,Bratislava,
4,SPOLOČNE OBČANIA SLOVENSKA,1,Zuzana,Kondrlíková Plháková,JUDr.,47,advokátka,Nové Zámky,X
4,SPOLOČNE OBČANIA SLOVENSKA,2,Anna,Schlosserová,,67,tlmočníčka posunkovej reči,Poprad,X
4,SPOLOČNE OBČANIA SLOVENSKA,3,Katarína,Kralčáková,,28,administratívna pracovníčka,Komjatná,X
4,SPOLOČNE OBČANIA SLOVENSKA,4,Martin,Fenďa,Ing.,37,projektový manažér,Nová Dedinka,X
