Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Číslo politického subjektu,Názov politického subjektu,Počet platných hlasov,Podiel platných hlasov v %,"Počet voličov, ktorí využili právo prednostného hlasovania","Podiel voličov, ktorí využili právo prednostného hlasovania v %"
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,23,Kresťanskodemokratické hnutie,3359,4.63,2646,78.77
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,24,KARMA,46,0.06,30,65.21
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,25,REPUBLIKA,1943,2.67,1663,85.58
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,1,Pirátska strana - Slovensko,81,0.18,61,75.3
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,2,PRINCÍP,16,0.03,13,81.25
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,3,Progresívne Slovensko,15466,35.33,12001,77.59
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,4,SPOLOČNE OBČANIA SLOVENSKA,26,0.05,11,42.3
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,5,OĽANO A PRIATELIA,2189,5.0,1932,88.25
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,6,Komunistická strana Slovenska,67,0.15,36,53.73
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,7,Maďarské fórum,22,0.05,20,90.9
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,8,Vlastenecký blok,8,0.01,4,50.0
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,9,"Modrí, Most - Híd",137,0.31,113,82.48
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,10,SPRAVODLIVOSŤ,18,0.04,9,50.0
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,11,Slovenské Hnutie Obrody,11,0.02,7,63.63
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,12,Sloboda a Solidarita,6258,14.29,5188,82.9
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,13,SME RODINA,526,1.2,426,80.98
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,14,MySlovensko,53,0.12,37,69.81
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,15,Slovenská národná strana,1860,4.24,1609,86.5
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,16,SMER - sociálna demokracia,7419,16.94,6144,82.81
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,17,HLAS - sociálna demokracia,3997,9.13,3293,82.38
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,18,SZÖVETSÉG - Magyarok,155,0.35,126,81.29
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,19,SRDCE vlastenci a dôchodcovia,25,0.05,19,76.0
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,20,SDKU - DS,6,0.01,4,66.66
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,21,Kotlebovci - Ľudová strana Naše Slovensko,243,0.55,225,92.59
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,22,Demokrati,2027,4.63,1764,87.02
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,23,Kresťanskodemokratické hnutie,2055,4.69,1572,76.49
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,24,KARMA,41,0.09,19,46.34
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,25,REPUBLIKA,1066,2.43,881,82.64
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,1,Pirátska strana - Slovensko,170,0.27,112,65.88
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,2,PRINCÍP,15,0.02,11,73.33
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,3,Progresívne Slovensko,20527,33.37,15514,75.57
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,4,SPOLOČNE OBČANIA SLOVENSKA,27,0.04,15,55.55
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,5,OĽANO A PRIATELIA,3033,4.93,2597,85.62
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,6,Komunistická strana Slovenska,107,0.17,78,72.89
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,7,Maďarské fórum,36,0.05,33,91.66
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,8,Vlastenecký blok,17,0.02,12,70.58
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,9,"Modrí, Most - Híd",178,0.28,137,76.96
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,10,SPRAVODLIVOSŤ,24,0.03,14,58.33
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,11,Slovenské Hnutie Obrody,14,0.02,8,57.14
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,12,Sloboda a Solidarita,8478,13.78,7020,82.8
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,13,SME RODINA,998,1.62,828,82.96
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,14,MySlovensko,67,0.1,46,68.65
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,15,Slovenská národná strana,2653,4.31,2362,89.03
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,16,SMER - sociálna demokracia,10598,17.23,8757,82.62
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,17,HLAS - sociálna demokracia,5935,9.65,4831,81.39
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,18,SZÖVETSÉG - Magyarok,174,0.28,132,75.86
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,19,SRDCE vlastenci a dôchodcovia,48,0.07,27,56.25
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,20,SDKU - DS,13,0.02,5,38.46
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,21,Kotlebovci - Ľudová strana Naše Slovensko,355,0.57,319,89.85
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,22,Demokrati,3048,4.95,2690,88.25
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,23,Kresťanskodemokratické hnutie,3232,5.25,2646,81.86
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,24,KARMA,47,0.07,26,55.31
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,25,REPUBLIKA,1704,2.77,1470,86.26
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,1,Pirátska strana - Slovensko,220,0.31,125,56.81
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,2,PRINCÍP,15,0.02,8,53.33
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,3,Progresívne Slovensko,21528,30.68,16136,74.95
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,4,SPOLOČNE OBČANIA SLOVENSKA,42,0.05,15,35.71
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,5,OĽANO A PRIATELIA,4288,6.11,3611,84.21
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,6,Komunistická strana Slovenska,122,0.17,70,57.37
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,7,Maďarské fórum,44,0.06,37,84.09
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,8,Vlastenecký blok,25,0.03,15,60.0
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,9,"Modrí, Most - Híd",222,0.31,170,76.57
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,10,SPRAVODLIVOSŤ,23,0.03,16,69.56
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,11,Slovenské Hnutie Obrody,19,0.02,13,68.42
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,12,Sloboda a Solidarita,8947,12.75,7425,82.98
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,13,SME RODINA,1271,1.81,1022,80.4
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,14,MySlovensko,63,0.08,34,53.96
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,15,Slovenská národná strana,3115,4.43,2754,88.41
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,16,SMER - sociálna demokracia,13239,18.86,10785,81.46
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,17,HLAS - sociálna demokracia,7278,10.37,5710,78.45
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,18,SZÖVETSÉG - Magyarok,367,0.52,280,76.29
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,19,SRDCE vlastenci a dôchodcovia,65,0.09,41,63.07
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,20,SDKU - DS,11,0.01,4,36.36
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,21,Kotlebovci - Ľudová strana Naše Slovensko,395,0.56,345,87.34
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,22,Demokrati,3292,4.69,2888,87.72
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,23,Kresťanskodemokratické hnutie,3359,4.78,2604,77.52
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,24,KARMA,66,0.09,25,37.87
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,25,REPUBLIKA,2145,3.05,1798,83.82
1,Bratislavský kraj,102,Malacky,106,Malacky,1,Pirátska strana - Slovensko,175,0.39,101,57.71
1,Bratislavský kraj,102,Malacky,106,Malacky,2,PRINCÍP,10,0.02,6,60.0
1,Bratislavský kraj,102,Malacky,106,Malacky,3,Progresívne Slovensko,9540,21.65,6776,71.02
1,Bratislavský kraj,102,Malacky,106,Malacky,4,SPOLOČNE OBČANIA SLOVENSKA,41,0.09,23,56.09
1,Bratislavský kraj,102,Malacky,106,Malacky,5,OĽANO A PRIATELIA,3690,8.37,3033,82.19
1,Bratislavský kraj,102,Malacky,106,Malacky,6,Komunistická strana Slovenska,145,0.32,89,61.37
1,Bratislavský kraj,102,Malacky,106,Malacky,7,Maďarské fórum,15,0.03,12,80.0
1,Bratislavský kraj,102,Malacky,106,Malacky,8,Vlastenecký blok,17,0.03,14,82.35
1,Bratislavský kraj,102,Malacky,106,Malacky,9,"Modrí, Most - Híd",60,0.13,49,81.66
1,Bratislavský kraj,102,Malacky,106,Malacky,10,SPRAVODLIVOSŤ,25,0.05,10,40.0
