Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Okrsok,Počet platných hlasov spolu,Počet platných hlasov za Piráti,Podiel platných hlasov v % za Piráti,Počet platných hlasov za PRINCÍP,Podiel platných hlasov v % za PRINCÍP,Počet platných hlasov za PS,Podiel platných hlasov v % za PS,Počet platných hlasov za SOS,Podiel platných hlasov v % za SOS,"Počet platných hlasov za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ","Podiel platných hlasov v % za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ",Počet platných hlasov za KSS,Podiel platných hlasov v % za KSS,"Počet platných hlasov za MF, ODS, ZR, RK, DS","Podiel platných hlasov v % za MF, ODS, ZR, RK, DS",Počet platných hlasov za VB,Podiel platných hlasov v % za VB,Počet platných hlasov za MM,Podiel platných hlasov v % za MM,Počet platných hlasov za SPRAVODLIVOSŤ,Podiel platných hlasov v % za SPRAVODLIVOSŤ,Počet platných hlasov za SHO,Podiel platných hlasov v % za SHO,Počet platných hlasov za SaS,Podiel platných hlasov v % za SaS,Počet platných hlasov za SME RODINA,Podiel platných hlasov v % za SME RODINA,Počet platných hlasov za MySlovensko,Podiel platných hlasov v % za MySlovensko,Počet platných hlasov za SNS,Podiel platných hlasov v % za SNS,Počet platných hlasov za SMER - SD,Podiel platných hlasov v % za SMER - SD,Počet platných hlasov za HLAS - SD,Podiel platných hlasov v % za HLAS - SD,Počet platných hlasov za SZÖVETSÉG - ALIANCIA,Podiel platných hlasov v % za SZÖVETSÉG - ALIANCIA,Počet platných hlasov za SRDCE - SNJ,Podiel platných hlasov v % za SRDCE - SNJ,Počet platných hlasov za SDKÚ - DS,Podiel platných hlasov v % za SDKÚ - DS,Počet platných hlasov za ĽSNS,Podiel platných hlasov v % za ĽSNS,Počet platných hlasov za Demokrati,Podiel platných hlasov v % za Demokrati,Počet platných hlasov za KDH,Podiel platných hlasov v % za KDH,Počet platných hlasov za KARMA,Podiel platných hlasov v % za KARMA,Počet platných hlasov za REPUBLIKA,Podiel platných hlasov v % za REPUBLIKA
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510262,Liptovský Mikuláš,19,405,,,,,94.0,23.2,,,32.0,7.9,1.0,0.24,,,,,2.0,0.49,,,,,24.0,5.92,10.0,2.46,5.0,1.23,30.0,7.4,71.0,17.53,75.0,18.51,,,,,,,4.0,0.98,12.0,2.96,25.0,6.17,,,20.0,4.93
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510262,Liptovský Mikuláš,20,602,1.0,0.16,,,104.0,17.27,1.0,0.16,26.0,4.31,3.0,0.49,,,2.0,0.33,1.0,0.16,1.0,0.16,,,66.0,10.96,6.0,0.99,1.0,0.16,35.0,5.81,131.0,21.76,127.0,21.09,,,1.0,0.16,,,2.0,0.33,19.0,3.15,19.0,3.15,3.0,0.49,53.0,8.8
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510262,Liptovský Mikuláš,21,457,1.0,0.21,,,99.0,21.66,1.0,0.21,32.0,7.0,2.0,0.43,1.0,0.21,,,1.0,0.21,3.0,0.65,,,34.0,7.43,11.0,2.4,2.0,0.43,28.0,6.12,102.0,22.31,74.0,16.19,,,1.0,0.21,,,7.0,1.53,15.0,3.28,18.0,3.93,1.0,0.21,24.0,5.25
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510262,Liptovský Mikuláš,22,778,2.0,0.25,,,136.0,17.48,,,70.0,8.99,1.0,0.12,,,,,2.0,0.25,,,1.0,0.12,57.0,7.32,17.0,2.18,,,44.0,5.65,149.0,19.15,143.0,18.38,2.0,0.25,,,,,6.0,0.77,22.0,2.82,68.0,8.74,3.0,0.38,55.0,7.06
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510262,Liptovský Mikuláš,23,328,1.0,0.3,,,56.0,17.07,,,17.0,5.18,2.0,0.6,,,,,,,,,,,19.0,5.79,11.0,3.35,,,23.0,7.01,53.0,16.15,96.0,29.26,,,,,,,3.0,0.91,11.0,3.35,15.0,4.57,,,21.0,6.4
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510262,Liptovský Mikuláš,24,339,,,,,56.0,16.51,,,11.0,3.24,1.0,0.29,,,,,,,,,,,35.0,10.32,6.0,1.76,,,24.0,7.07,58.0,17.1,107.0,31.56,,,,,,,3.0,0.88,5.0,1.47,7.0,2.06,,,26.0,7.66
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510262,Liptovský Mikuláš,25,639,,,,,131.0,20.5,,,36.0,5.63,3.0,0.46,,,,,1.0,0.15,,,,,43.0,6.72,19.0,2.97,1.0,0.15,44.0,6.88,137.0,21.43,150.0,23.47,2.0,0.31,,,,,4.0,0.62,18.0,2.81,26.0,4.06,1.0,0.15,23.0,3.59
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510262,Liptovský Mikuláš,26,226,,,,,49.0,21.68,,,14.0,6.19,,,,,,,,,1.0,0.44,,,19.0,8.4,3.0,1.32,1.0,0.44,20.0,8.84,40.0,17.69,56.0,24.77,,,2.0,0.88,,,,,2.0,0.88,2.0,0.88,1.0,0.44,16.0,7.07
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510262,Liptovský Mikuláš,27,708,2.0,0.28,,,194.0,27.4,2.0,0.28,50.0,7.06,1.0,0.14,,,,,,,,,1.0,0.14,51.0,7.2,13.0,1.83,,,39.0,5.5,155.0,21.89,122.0,17.23,,,,,,,3.0,0.42,15.0,2.11,21.0,2.96,,,39.0,5.5
5,Žilinský kraj,503,Liptovský Mikuláš,505,Liptovský Mikuláš,510262,Liptovský Mikuláš,28,927,1.0,0.1,1.0,0.1,210.0,22.65,,,65.0,7.01,1.0,0.1,,,,,1.0,0.1,1.0,0.1,1.0,0.1,86.0,9.27,14.0,1.51,2.0,0.21,54.0,5.82,162.0,17.47,177.0,19.09,,,1.0,0.1,,,8.0,0.86,53.0,5.71,60.0,6.47,2.0,0.21,27.0,2.91
