Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Okrsok,Počet platných hlasov spolu,Počet platných hlasov za Piráti,Podiel platných hlasov v % za Piráti,Počet platných hlasov za PRINCÍP,Podiel platných hlasov v % za PRINCÍP,Počet platných hlasov za PS,Podiel platných hlasov v % za PS,Počet platných hlasov za SOS,Podiel platných hlasov v % za SOS,"Počet platných hlasov za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ","Podiel platných hlasov v % za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ",Počet platných hlasov za KSS,Podiel platných hlasov v % za KSS,"Počet platných hlasov za MF, ODS, ZR, RK, DS","Podiel platných hlasov v % za MF, ODS, ZR, RK, DS",Počet platných hlasov za VB,Podiel platných hlasov v % za VB,Počet platných hlasov za MM,Podiel platných hlasov v % za MM,Počet platných hlasov za SPRAVODLIVOSŤ,Podiel platných hlasov v % za SPRAVODLIVOSŤ,Počet platných hlasov za SHO,Podiel platných hlasov v % za SHO,Počet platných hlasov za SaS,Podiel platných hlasov v % za SaS,Počet platných hlasov za SME RODINA,Podiel platných hlasov v % za SME RODINA,Počet platných hlasov za MySlovensko,Podiel platných hlasov v % za MySlovensko,Počet platných hlasov za SNS,Podiel platných hlasov v % za SNS,Počet platných hlasov za SMER - SD,Podiel platných hlasov v % za SMER - SD,Počet platných hlasov za HLAS - SD,Podiel platných hlasov v % za HLAS - SD,Počet platných hlasov za SZÖVETSÉG - ALIANCIA,Podiel platných hlasov v % za SZÖVETSÉG - ALIANCIA,Počet platných hlasov za SRDCE - SNJ,Podiel platných hlasov v % za SRDCE - SNJ,Počet platných hlasov za SDKÚ - DS,Podiel platných hlasov v % za SDKÚ - DS,Počet platných hlasov za ĽSNS,Podiel platných hlasov v % za ĽSNS,Počet platných hlasov za Demokrati,Podiel platných hlasov v % za Demokrati,Počet platných hlasov za KDH,Podiel platných hlasov v % za KDH,Počet platných hlasov za KARMA,Podiel platných hlasov v % za KARMA,Počet platných hlasov za REPUBLIKA,Podiel platných hlasov v % za REPUBLIKA
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,1,921,3.0,0.32,1.0,0.1,390.0,42.34,,,45.0,4.88,,,3.0,0.32,,,7.0,0.76,2.0,0.21,,,148.0,16.06,9.0,0.97,,,27.0,2.93,129.0,14.0,37.0,4.01,3.0,0.32,2.0,0.21,,,3.0,0.32,44.0,4.77,52.0,5.64,,,16.0,1.73
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,2,778,1.0,0.12,,,325.0,41.77,,,36.0,4.62,1.0,0.12,,,,,2.0,0.25,,,,,102.0,13.11,14.0,1.79,,,24.0,3.08,102.0,13.11,53.0,6.81,5.0,0.64,1.0,0.12,,,5.0,0.64,38.0,4.88,55.0,7.06,,,14.0,1.79
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,3,762,,,,,349.0,45.8,,,26.0,3.41,1.0,0.13,1.0,0.13,,,6.0,0.78,,,,,107.0,14.04,12.0,1.57,,,14.0,1.83,105.0,13.77,49.0,6.43,4.0,0.52,,,,,3.0,0.39,35.0,4.59,43.0,5.64,,,7.0,0.91
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,4,733,2.0,0.27,,,296.0,40.38,,,44.0,6.0,2.0,0.27,1.0,0.13,,,2.0,0.27,,,1.0,0.13,103.0,14.05,18.0,2.45,,,19.0,2.59,113.0,15.41,36.0,4.91,2.0,0.27,,,,,,,38.0,5.18,40.0,5.45,,,16.0,2.18
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,5,890,1.0,0.11,1.0,0.11,404.0,45.39,,,27.0,3.03,,,,,,,4.0,0.44,1.0,0.11,,,143.0,16.06,12.0,1.34,1.0,0.11,27.0,3.03,111.0,12.47,47.0,5.28,8.0,0.89,,,1.0,0.11,5.0,0.56,45.0,5.05,39.0,4.38,,,13.0,1.46
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,6,846,2.0,0.23,,,340.0,40.18,,,37.0,4.37,4.0,0.47,,,,,2.0,0.23,,,,,114.0,13.47,4.0,0.47,2.0,0.23,30.0,3.54,153.0,18.08,54.0,6.38,13.0,1.53,,,,,3.0,0.35,26.0,3.07,51.0,6.02,1.0,0.11,10.0,1.18
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,7,982,2.0,0.2,,,407.0,41.44,,,44.0,4.48,,,,,,,2.0,0.2,2.0,0.2,,,156.0,15.88,12.0,1.22,,,31.0,3.15,121.0,12.32,53.0,5.39,14.0,1.42,1.0,0.1,,,5.0,0.5,40.0,4.07,76.0,7.73,,,16.0,1.62
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,8,766,1.0,0.13,,,272.0,35.5,1.0,0.13,33.0,4.3,1.0,0.13,,,,,3.0,0.39,,,,,110.0,14.36,4.0,0.52,1.0,0.13,35.0,4.56,120.0,15.66,61.0,7.96,7.0,0.91,1.0,0.13,1.0,0.13,,,26.0,3.39,69.0,9.0,,,20.0,2.61
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,9,845,2.0,0.23,1.0,0.11,342.0,40.47,,,61.0,7.21,1.0,0.11,,,,,5.0,0.59,,,1.0,0.11,115.0,13.6,10.0,1.18,,,33.0,3.9,111.0,13.13,53.0,6.27,2.0,0.23,,,,,2.0,0.23,38.0,4.49,51.0,6.03,1.0,0.11,16.0,1.89
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,10,991,3.0,0.3,,,369.0,37.23,,,46.0,4.64,,,,,,,2.0,0.2,2.0,0.2,1.0,0.1,159.0,16.04,6.0,0.6,,,26.0,2.62,155.0,15.64,87.0,8.77,4.0,0.4,,,,,3.0,0.3,53.0,5.34,61.0,6.15,1.0,0.1,13.0,1.31
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,11,789,3.0,0.38,,,316.0,40.05,,,27.0,3.42,,,,,,,1.0,0.12,,,,,136.0,17.23,9.0,1.14,,,31.0,3.92,113.0,14.32,62.0,7.85,2.0,0.25,,,,,,,36.0,4.56,41.0,5.19,1.0,0.12,11.0,1.39
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,12,668,,,1.0,0.14,265.0,39.67,,,31.0,4.64,,,,,,,,,2.0,0.29,,,109.0,16.31,9.0,1.34,,,34.0,5.08,92.0,13.77,38.0,5.68,2.0,0.29,,,,,3.0,0.44,31.0,4.64,39.0,5.83,,,12.0,1.79
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,13,824,,,1.0,0.12,300.0,36.4,,,23.0,2.79,,,,,,,8.0,0.97,,,,,140.0,16.99,9.0,1.09,,,16.0,1.94,138.0,16.74,80.0,9.7,3.0,0.36,,,,,3.0,0.36,39.0,4.73,50.0,6.06,1.0,0.12,13.0,1.57
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,14,795,1.0,0.12,,,302.0,37.98,,,34.0,4.27,1.0,0.12,4.0,0.5,,,,,,,,,125.0,15.72,9.0,1.13,,,19.0,2.38,150.0,18.86,52.0,6.54,5.0,0.62,1.0,0.12,,,1.0,0.12,35.0,4.4,41.0,5.15,,,15.0,1.88
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,15,1024,,,,,429.0,41.89,,,31.0,3.02,,,1.0,0.09,,,2.0,0.19,,,1.0,0.09,172.0,16.79,8.0,0.78,,,28.0,2.73,157.0,15.33,90.0,8.78,6.0,0.58,,,,,,,38.0,3.71,47.0,4.58,,,14.0,1.36
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,16,898,2.0,0.22,,,376.0,41.87,,,55.0,6.12,,,,,,,2.0,0.22,,,,,147.0,16.36,9.0,1.0,2.0,0.22,20.0,2.22,102.0,11.35,64.0,7.12,1.0,0.11,,,,,4.0,0.44,59.0,6.57,34.0,3.78,,,21.0,2.33
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,17,817,1.0,0.12,,,317.0,38.8,,,37.0,4.52,,,,,,,3.0,0.36,,,,,116.0,14.19,4.0,0.48,,,32.0,3.91,122.0,14.93,40.0,4.89,5.0,0.61,,,,,5.0,0.61,51.0,6.24,59.0,7.22,,,25.0,3.05
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,18,978,2.0,0.2,,,419.0,42.84,,,44.0,4.49,2.0,0.2,,,,,5.0,0.51,,,,,146.0,14.92,13.0,1.32,1.0,0.1,34.0,3.47,138.0,14.11,61.0,6.23,5.0,0.51,,,,,1.0,0.1,44.0,4.49,54.0,5.52,,,9.0,0.92
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,19,724,2.0,0.27,,,302.0,41.71,,,26.0,3.59,,,2.0,0.27,,,1.0,0.13,,,,,101.0,13.95,3.0,0.41,,,18.0,2.48,104.0,14.36,54.0,7.45,1.0,0.13,1.0,0.13,,,3.0,0.41,43.0,5.93,50.0,6.9,,,13.0,1.79
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,20,806,1.0,0.12,,,344.0,42.67,,,32.0,3.97,,,,,,,3.0,0.37,,,1.0,0.12,150.0,18.61,8.0,0.99,2.0,0.24,26.0,3.22,87.0,10.79,55.0,6.82,2.0,0.24,2.0,0.24,1.0,0.12,4.0,0.49,38.0,4.71,41.0,5.08,,,9.0,1.11
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,21,705,,,,,292.0,41.41,,,29.0,4.11,1.0,0.14,,,,,1.0,0.14,,,,,95.0,13.47,12.0,1.7,2.0,0.28,20.0,2.83,113.0,16.02,54.0,7.65,1.0,0.14,1.0,0.14,,,2.0,0.28,31.0,4.39,38.0,5.39,,,13.0,1.84
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,22,856,,,3.0,0.35,352.0,41.12,,,37.0,4.32,1.0,0.11,,,1.0,0.11,2.0,0.23,1.0,0.11,,,140.0,16.35,15.0,1.75,,,40.0,4.67,104.0,12.14,54.0,6.3,5.0,0.58,,,,,7.0,0.81,37.0,4.32,37.0,4.32,,,20.0,2.33
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,23,697,1.0,0.14,,,288.0,41.31,1.0,0.14,26.0,3.73,1.0,0.14,1.0,0.14,,,7.0,1.0,,,,,111.0,15.92,5.0,0.71,,,22.0,3.15,109.0,15.63,49.0,7.03,1.0,0.14,,,,,3.0,0.43,32.0,4.59,26.0,3.73,,,14.0,2.0
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,24,731,1.0,0.13,,,309.0,42.27,,,27.0,3.69,,,1.0,0.13,,,6.0,0.82,,,,,125.0,17.09,5.0,0.68,,,21.0,2.87,105.0,14.36,34.0,4.65,3.0,0.41,,,,,1.0,0.13,34.0,4.65,47.0,6.42,1.0,0.13,11.0,1.5
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,25,723,1.0,0.13,,,327.0,45.22,2.0,0.27,32.0,4.42,2.0,0.27,,,,,,,1.0,0.13,,,87.0,12.03,8.0,1.1,,,31.0,4.28,97.0,13.41,50.0,6.91,4.0,0.55,,,,,2.0,0.27,37.0,5.11,27.0,3.73,,,15.0,2.07
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,26,967,1.0,0.1,,,444.0,45.91,,,32.0,3.3,1.0,0.1,1.0,0.1,,,3.0,0.31,1.0,0.1,,,155.0,16.02,10.0,1.03,1.0,0.1,30.0,3.1,118.0,12.2,62.0,6.41,1.0,0.1,1.0,0.1,,,5.0,0.51,39.0,4.03,52.0,5.37,1.0,0.1,9.0,0.93
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,27,948,3.0,0.31,,,414.0,43.67,,,41.0,4.32,1.0,0.1,,,,,9.0,0.94,,,,,145.0,15.29,10.0,1.05,1.0,0.1,17.0,1.79,155.0,16.35,55.0,5.8,2.0,0.21,1.0,0.1,,,2.0,0.21,31.0,3.27,34.0,3.58,,,27.0,2.84
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,28,755,,,,,328.0,43.44,,,32.0,4.23,,,,,,,1.0,0.13,,,,,127.0,16.82,6.0,0.79,,,17.0,2.25,108.0,14.3,39.0,5.16,7.0,0.92,,,,,4.0,0.52,34.0,4.5,40.0,5.29,,,12.0,1.58
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,29,1097,3.0,0.27,,,455.0,41.47,,,38.0,3.46,1.0,0.09,1.0,0.09,,,5.0,0.45,1.0,0.09,,,135.0,12.3,16.0,1.45,1.0,0.09,32.0,2.91,219.0,19.96,73.0,6.65,5.0,0.45,,,,,4.0,0.36,36.0,3.28,47.0,4.28,1.0,0.09,24.0,2.18
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,30,770,1.0,0.12,1.0,0.12,322.0,41.81,,,22.0,2.85,,,1.0,0.12,,,3.0,0.38,,,,,118.0,15.32,8.0,1.03,,,19.0,2.46,127.0,16.49,69.0,8.96,4.0,0.51,,,,,4.0,0.51,15.0,1.94,41.0,5.32,1.0,0.12,14.0,1.81
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,31,772,1.0,0.12,2.0,0.25,328.0,42.48,,,33.0,4.27,2.0,0.25,1.0,0.12,,,,,,,,,124.0,16.06,6.0,0.77,1.0,0.12,30.0,3.88,121.0,15.67,44.0,5.69,5.0,0.64,,,,,3.0,0.38,32.0,4.14,32.0,4.14,,,7.0,0.9
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,32,927,4.0,0.43,,,408.0,44.01,2.0,0.21,34.0,3.66,,,2.0,0.21,,,4.0,0.43,1.0,0.1,,,118.0,12.72,7.0,0.75,1.0,0.1,25.0,2.69,134.0,14.45,82.0,8.84,7.0,0.75,,,,,1.0,0.1,39.0,4.2,41.0,4.42,,,17.0,1.83
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,33,855,3.0,0.35,,,369.0,43.15,,,23.0,2.69,,,2.0,0.23,,,4.0,0.46,,,,,115.0,13.45,9.0,1.05,,,22.0,2.57,121.0,14.15,65.0,7.6,1.0,0.11,,,,,4.0,0.46,35.0,4.09,58.0,6.78,1.0,0.11,23.0,2.69
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,34,741,1.0,0.13,,,304.0,41.02,,,27.0,3.64,,,,,,,2.0,0.26,,,,,103.0,13.9,7.0,0.94,,,27.0,3.64,130.0,17.54,57.0,7.69,7.0,0.94,,,,,4.0,0.53,32.0,4.31,35.0,4.72,,,5.0,0.67
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,1,841,5.0,0.59,1.0,0.11,236.0,28.06,1.0,0.11,61.0,7.25,1.0,0.11,1.0,0.11,,,7.0,0.83,,,,,97.0,11.53,13.0,1.54,,,31.0,3.68,162.0,19.26,81.0,9.63,41.0,4.87,,,,,,,29.0,3.44,55.0,6.53,,,19.0,2.25
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,2,756,1.0,0.13,1.0,0.13,215.0,28.43,,,84.0,11.11,,,3.0,0.39,,,18.0,2.38,,,,,74.0,9.78,19.0,2.51,2.0,0.26,12.0,1.58,124.0,16.4,67.0,8.86,55.0,7.27,,,,,,,34.0,4.49,31.0,4.1,,,16.0,2.11
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,3,843,2.0,0.23,,,261.0,30.96,1.0,0.11,79.0,9.37,2.0,0.23,3.0,0.35,,,3.0,0.35,,,,,125.0,14.82,20.0,2.37,,,31.0,3.67,128.0,15.18,75.0,8.89,32.0,3.79,,,,,2.0,0.23,45.0,5.33,21.0,2.49,1.0,0.11,12.0,1.42
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,4,719,3.0,0.41,,,168.0,23.36,,,75.0,10.43,,,3.0,0.41,1.0,0.13,13.0,1.8,,,,,74.0,10.29,11.0,1.52,,,13.0,1.8,132.0,18.35,76.0,10.57,53.0,7.37,,,,,5.0,0.69,29.0,4.03,48.0,6.67,,,15.0,2.08
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,5,686,1.0,0.14,1.0,0.14,182.0,26.53,1.0,0.14,61.0,8.89,,,1.0,0.14,,,8.0,1.16,,,2.0,0.29,75.0,10.93,13.0,1.89,,,27.0,3.93,142.0,20.69,47.0,6.85,22.0,3.2,,,,,8.0,1.16,23.0,3.35,53.0,7.72,1.0,0.14,18.0,2.62
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,6,636,1.0,0.15,,,184.0,28.93,,,68.0,10.69,2.0,0.31,3.0,0.47,,,4.0,0.62,,,,,81.0,12.73,13.0,2.04,1.0,0.15,24.0,3.77,100.0,15.72,56.0,8.8,18.0,2.83,1.0,0.15,1.0,0.15,1.0,0.15,38.0,5.97,22.0,3.45,,,18.0,2.83
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,7,752,4.0,0.53,,,191.0,25.39,2.0,0.26,64.0,8.51,1.0,0.13,,,,,3.0,0.39,1.0,0.13,,,79.0,10.5,26.0,3.45,,,31.0,4.12,151.0,20.07,105.0,13.96,6.0,0.79,,,,,6.0,0.79,24.0,3.19,34.0,4.52,,,24.0,3.19
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,8,692,7.0,1.01,,,185.0,26.73,2.0,0.28,33.0,4.76,1.0,0.14,,,,,3.0,0.43,1.0,0.14,,,59.0,8.52,15.0,2.16,1.0,0.14,35.0,5.05,154.0,22.25,94.0,13.58,4.0,0.57,1.0,0.14,2.0,0.28,7.0,1.01,20.0,2.89,28.0,4.04,1.0,0.14,39.0,5.63
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,9,656,2.0,0.3,,,159.0,24.23,1.0,0.15,42.0,6.4,2.0,0.3,2.0,0.3,,,1.0,0.15,,,,,74.0,11.28,20.0,3.04,,,33.0,5.03,171.0,26.06,79.0,12.04,4.0,0.6,,,1.0,0.15,2.0,0.3,26.0,3.96,18.0,2.74,1.0,0.15,18.0,2.74
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,10,661,2.0,0.3,1.0,0.15,147.0,22.23,1.0,0.15,54.0,8.16,3.0,0.45,,,,,2.0,0.3,1.0,0.15,2.0,0.3,58.0,8.77,14.0,2.11,,,22.0,3.32,173.0,26.17,87.0,13.16,11.0,1.66,,,,,3.0,0.45,29.0,4.38,21.0,3.17,,,30.0,4.53
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,11,694,2.0,0.28,,,233.0,33.57,2.0,0.28,60.0,8.64,,,,,,,4.0,0.57,,,1.0,0.14,95.0,13.68,9.0,1.29,5.0,0.72,33.0,4.75,119.0,17.14,74.0,10.66,6.0,0.86,1.0,0.14,,,4.0,0.57,23.0,3.31,17.0,2.44,,,6.0,0.86
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,12,555,3.0,0.54,1.0,0.18,151.0,27.2,,,32.0,5.76,2.0,0.36,1.0,0.18,,,3.0,0.54,,,1.0,0.18,65.0,11.71,10.0,1.8,1.0,0.18,19.0,3.42,117.0,21.08,73.0,13.15,2.0,0.36,,,,,3.0,0.54,27.0,4.86,24.0,4.32,,,20.0,3.6
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,13,533,3.0,0.56,,,108.0,20.26,,,38.0,7.12,1.0,0.18,2.0,0.37,,,3.0,0.56,,,,,56.0,10.5,11.0,2.06,,,17.0,3.18,148.0,27.76,91.0,17.07,1.0,0.18,2.0,0.37,,,3.0,0.56,15.0,2.81,15.0,2.81,,,19.0,3.56
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,14,650,7.0,1.07,,,191.0,29.38,1.0,0.15,38.0,5.84,,,1.0,0.15,,,2.0,0.3,1.0,0.15,,,90.0,13.84,12.0,1.84,3.0,0.46,19.0,2.92,117.0,18.0,72.0,11.07,9.0,1.38,,,1.0,0.15,6.0,0.92,23.0,3.53,30.0,4.61,1.0,0.15,26.0,4.0
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,15,362,2.0,0.55,,,111.0,30.66,,,22.0,6.07,1.0,0.27,,,1.0,0.27,,,,,,,33.0,9.11,12.0,3.31,,,10.0,2.76,83.0,22.92,44.0,12.15,4.0,1.1,,,,,4.0,1.1,14.0,3.86,9.0,2.48,,,12.0,3.31
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,16,669,3.0,0.44,,,227.0,33.93,,,29.0,4.33,1.0,0.14,,,,,2.0,0.29,,,,,106.0,15.84,10.0,1.49,,,29.0,4.33,113.0,16.89,62.0,9.26,10.0,1.49,,,,,,,30.0,4.48,29.0,4.33,1.0,0.14,17.0,2.54
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,17,742,2.0,0.26,,,169.0,22.77,1.0,0.13,34.0,4.58,2.0,0.26,2.0,0.26,1.0,0.13,1.0,0.13,,,,,87.0,11.72,14.0,1.88,2.0,0.26,37.0,4.98,204.0,27.49,83.0,11.18,13.0,1.75,1.0,0.13,,,6.0,0.8,32.0,4.31,26.0,3.5,1.0,0.13,24.0,3.23
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,18,622,,,,,146.0,23.47,,,27.0,4.34,,,,,,,2.0,0.32,,,,,78.0,12.54,13.0,2.09,,,30.0,4.82,146.0,23.47,83.0,13.34,5.0,0.8,2.0,0.32,,,3.0,0.48,27.0,4.34,23.0,3.69,1.0,0.16,36.0,5.78
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,19,819,,,1.0,0.12,225.0,27.47,,,41.0,5.0,2.0,0.24,,,1.0,0.12,2.0,0.24,,,,,72.0,8.79,22.0,2.68,,,24.0,2.93,216.0,26.37,103.0,12.57,7.0,0.85,1.0,0.12,1.0,0.12,9.0,1.09,29.0,3.54,31.0,3.78,1.0,0.12,31.0,3.78
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,1,683,,,,,324.0,47.43,,,29.0,4.24,,,,,,,3.0,0.43,1.0,0.14,,,105.0,15.37,4.0,0.58,,,18.0,2.63,98.0,14.34,33.0,4.83,3.0,0.43,,,,,6.0,0.87,29.0,4.24,22.0,3.22,1.0,0.14,7.0,1.02
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,2,626,,,,,257.0,41.05,1.0,0.15,30.0,4.79,1.0,0.15,,,,,1.0,0.15,,,,,103.0,16.45,4.0,0.63,,,10.0,1.59,98.0,15.65,43.0,6.86,1.0,0.15,,,,,2.0,0.31,30.0,4.79,30.0,4.79,,,15.0,2.39
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,3,617,1.0,0.16,,,259.0,41.97,,,33.0,5.34,1.0,0.16,,,,,1.0,0.16,,,,,103.0,16.69,7.0,1.13,,,22.0,3.56,73.0,11.83,39.0,6.32,4.0,0.64,,,,,1.0,0.16,23.0,3.72,33.0,5.34,,,17.0,2.75
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,4,596,,,,,274.0,45.97,,,19.0,3.18,1.0,0.16,,,,,,,1.0,0.16,,,93.0,15.6,8.0,1.34,1.0,0.16,16.0,2.68,74.0,12.41,54.0,9.06,,,,,,,,,13.0,2.18,29.0,4.86,,,13.0,2.18
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,5,575,,,,,249.0,43.3,,,16.0,2.78,,,,,,,4.0,0.69,,,,,81.0,14.08,2.0,0.34,,,15.0,2.6,96.0,16.69,40.0,6.95,2.0,0.34,,,,,3.0,0.52,29.0,5.04,23.0,4.0,1.0,0.17,14.0,2.43
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,6,745,4.0,0.53,,,340.0,45.63,,,31.0,4.16,1.0,0.13,3.0,0.4,,,1.0,0.13,,,,,132.0,17.71,2.0,0.26,,,34.0,4.56,81.0,10.87,45.0,6.04,4.0,0.53,1.0,0.13,,,,,25.0,3.35,28.0,3.75,1.0,0.13,12.0,1.61
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,7,733,3.0,0.4,,,302.0,41.2,,,36.0,4.91,,,1.0,0.13,,,1.0,0.13,1.0,0.13,,,105.0,14.32,2.0,0.27,,,26.0,3.54,100.0,13.64,58.0,7.91,4.0,0.54,,,,,1.0,0.13,47.0,6.41,34.0,4.63,,,12.0,1.63
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,8,731,,,,,328.0,44.87,,,25.0,3.41,2.0,0.27,,,,,1.0,0.13,,,,,123.0,16.82,1.0,0.13,2.0,0.27,21.0,2.87,108.0,14.77,39.0,5.33,3.0,0.41,,,,,1.0,0.13,35.0,4.78,33.0,4.51,,,9.0,1.23
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,9,761,,,,,335.0,44.02,,,22.0,2.89,2.0,0.26,1.0,0.13,,,3.0,0.39,1.0,0.13,1.0,0.13,157.0,20.63,10.0,1.31,,,19.0,2.49,88.0,11.56,52.0,6.83,5.0,0.65,,,,,2.0,0.26,28.0,3.67,28.0,3.67,,,7.0,0.91
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,10,629,,,,,259.0,41.17,,,27.0,4.29,,,,,,,3.0,0.47,,,,,112.0,17.8,5.0,0.79,1.0,0.15,21.0,3.33,99.0,15.73,35.0,5.56,5.0,0.79,2.0,0.31,,,2.0,0.31,24.0,3.81,20.0,3.17,,,14.0,2.22
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,11,547,,,,,247.0,45.15,,,20.0,3.65,,,,,,,,,,,,,77.0,14.07,5.0,0.91,,,16.0,2.92,78.0,14.25,28.0,5.11,1.0,0.18,,,,,1.0,0.18,27.0,4.93,37.0,6.76,,,10.0,1.82
