Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Počet platných hlasov spolu,Počet platných hlasov za Piráti,Podiel platných hlasov v % za Piráti,Počet platných hlasov za PRINCÍP,Podiel platných hlasov v % za PRINCÍP,Počet platných hlasov za PS,Podiel platných hlasov v % za PS,Počet platných hlasov za SOS,Podiel platných hlasov v % za SOS,"Počet platných hlasov za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ","Podiel platných hlasov v % za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ",Počet platných hlasov za KSS,Podiel platných hlasov v % za KSS,"Počet platných hlasov za MF, ODS, ZR, RK, DS","Podiel platných hlasov v % za MF, ODS, ZR, RK, DS",Počet platných hlasov za VB,Podiel platných hlasov v % za VB,Počet platných hlasov za MM,Podiel platných hlasov v % za MM,Počet platných hlasov za SPRAVODLIVOSŤ,Podiel platných hlasov v % za SPRAVODLIVOSŤ,Počet platných hlasov za SHO,Podiel platných hlasov v % za SHO,Počet platných hlasov za SaS,Podiel platných hlasov v % za SaS,Počet platných hlasov za SME RODINA,Podiel platných hlasov v % za SME RODINA,Počet platných hlasov za MySlovensko,Podiel platných hlasov v % za MySlovensko,Počet platných hlasov za SNS,Podiel platných hlasov v % za SNS,Počet platných hlasov za SMER - SD,Podiel platných hlasov v % za SMER - SD,Počet platných hlasov za HLAS - SD,Podiel platných hlasov v % za HLAS - SD,Počet platných hlasov za SZÖVETSÉG - ALIANCIA,Podiel platných hlasov v % za SZÖVETSÉG - ALIANCIA,Počet platných hlasov za SRDCE - SNJ,Podiel platných hlasov v % za SRDCE - SNJ,Počet platných hlasov za SDKÚ - DS,Podiel platných hlasov v % za SDKÚ - DS,Počet platných hlasov za ĽSNS,Podiel platných hlasov v % za ĽSNS,Počet platných hlasov za Demokrati,Podiel platných hlasov v % za Demokrati,Počet platných hlasov za KDH,Podiel platných hlasov v % za KDH,Počet platných hlasov za KARMA,Podiel platných hlasov v % za KARMA,Počet platných hlasov za REPUBLIKA,Podiel platných hlasov v % za REPUBLIKA
3,Trenčiansky kraj,303,Považská Bystrica,62384,177,0.28,18,0.02,9099,14.58,57,0.09,3158,5.06,200,0.32,9,0.01,12.0,0.01,75,0.12,24,0.03,37,0.05,3089,4.95,1263,2.02,75,0.12,5085,8.15,20798,33.33,9957,15.96,16,0.02,44,0.07,18.0,0.02,608,0.97,1574,2.52,3509,5.62,54,0.08,3428,5.49
3,Trenčiansky kraj,304,Prievidza,99575,303,0.3,30,0.03,15263,15.32,64,0.06,5822,5.84,549,0.55,22,0.02,92.0,0.09,104,0.1,47,0.04,55,0.05,5116,5.13,2235,2.24,92,0.09,7534,7.56,30653,30.78,16398,16.46,15,0.01,79,0.07,22.0,0.02,1104,1.1,2954,2.96,4890,4.91,97,0.09,6035,6.06
3,Trenčiansky kraj,305,Trenčín,101425,287,0.28,30,0.02,18868,18.6,82,0.08,6054,5.96,411,0.4,35,0.03,32.0,0.03,212,0.2,64,0.06,47,0.04,6389,6.29,2100,2.07,137,0.13,7335,7.23,27230,26.84,16102,15.87,52,0.05,68,0.06,27.0,0.02,1021,1.0,3211,3.16,6608,6.51,140,0.13,4883,4.81
4,Nitriansky kraj,401,Komárno,45614,153,0.33,19,0.04,4793,10.5,31,0.06,3421,7.49,83,0.18,252,0.55,15.0,0.03,254,0.55,19,0.04,9,0.01,1057,2.31,500,1.09,25,0.05,739,1.62,6441,14.12,3457,7.57,22255,48.78,30,0.06,2.0,0.0,169,0.37,436,0.95,412,0.9,26,0.05,1016,2.22
4,Nitriansky kraj,402,Levice,56123,197,0.35,31,0.05,8349,14.87,34,0.06,5189,9.24,212,0.37,151,0.26,11.0,0.01,244,0.43,28,0.04,52,0.09,2561,4.56,1401,2.49,41,0.07,2210,3.93,12424,22.13,8360,14.89,7566,13.48,67,0.11,17.0,0.03,685,1.22,1307,2.32,2266,4.03,42,0.07,2678,4.77
4,Nitriansky kraj,403,Nitra,119143,303,0.25,31,0.02,20051,16.82,63,0.05,7897,6.62,300,0.25,68,0.05,32.0,0.02,226,0.18,53,0.04,71,0.05,7461,6.26,2529,2.12,137,0.11,7004,5.87,33918,28.46,19861,16.66,1779,1.49,105,0.08,23.0,0.01,1020,0.85,3416,2.86,6598,5.53,87,0.07,6110,5.12
4,Nitriansky kraj,404,Nové Zámky,71020,201,0.28,29,0.04,9608,13.52,53,0.07,5686,8.0,160,0.22,193,0.27,13.0,0.01,409,0.57,22,0.03,27,0.03,2824,3.97,1378,1.94,46,0.06,2636,3.71,16515,23.25,10432,14.68,13647,19.21,59,0.08,15.0,0.02,482,0.67,1171,1.64,2268,3.19,36,0.05,3110,4.37
4,Nitriansky kraj,405,Šaľa,25824,94,0.36,8,0.03,4238,16.41,26,0.1,2405,9.31,95,0.36,76,0.29,4.0,0.01,92,0.35,10,0.03,8,0.03,1511,5.85,559,2.16,22,0.08,783,3.03,5470,21.18,3177,12.3,4722,18.28,12,0.04,4.0,0.01,148,0.57,581,2.24,674,2.6,24,0.09,1081,4.18
4,Nitriansky kraj,406,Topoľčany,41492,112,0.26,12,0.02,4774,11.5,24,0.05,2252,5.42,118,0.28,13,0.03,34.0,0.08,28,0.06,11,0.02,18,0.04,1847,4.45,857,2.06,37,0.08,2863,6.9,16152,38.92,6466,15.58,18,0.04,23,0.05,6.0,0.01,390,0.93,958,2.3,2389,5.75,43,0.1,2047,4.93
5,Žilinský kraj,501,Čadca,49560,89,0.17,13,0.02,5081,10.25,53,0.1,2553,5.15,128,0.25,5,0.01,9.0,0.01,16,0.03,16,0.03,13,0.02,1712,3.45,672,1.35,22,0.04,3696,7.45,18937,38.21,9668,19.5,5,0.01,25,0.05,15.0,0.03,434,0.87,771,1.55,2607,5.26,21,0.04,2999,6.05
5,Žilinský kraj,502,Dolný Kubín,22045,57,0.25,11,0.04,3643,16.52,24,0.1,1986,9.0,100,0.45,7,0.03,11.0,0.04,21,0.09,17,0.07,6,0.02,1401,6.35,491,2.22,17,0.07,1567,7.1,4055,18.39,3193,14.48,7,0.03,14,0.06,14.0,0.06,202,0.91,930,4.21,3167,14.36,22,0.09,1082,4.9
5,Žilinský kraj,503,Liptovský Mikuláš,42453,117,0.27,24,0.05,7879,18.55,43,0.1,2876,6.77,176,0.41,10,0.02,23.0,0.05,43,0.1,30,0.07,22,0.05,2969,6.99,1033,2.43,50,0.11,3205,7.54,9372,22.07,8196,19.3,33,0.07,33,0.07,10.0,0.02,357,0.84,1253,2.95,2153,5.07,50,0.11,2496,5.87
5,Žilinský kraj,504,Martin,64064,208,0.32,29,0.04,11937,18.63,55,0.08,4018,6.27,323,0.5,23,0.03,34.0,0.05,78,0.12,34,0.05,45,0.07,4001,6.24,1462,2.28,88,0.13,5421,8.46,16297,25.43,10801,16.85,24,0.03,79,0.12,18.0,0.02,840,1.31,1772,2.76,2824,4.4,48,0.07,3605,5.62
5,Žilinský kraj,505,Námestovo,54088,114,0.21,14,0.02,5422,10.02,30,0.05,4144,7.66,100,0.18,11,0.02,65.0,0.12,39,0.07,23,0.04,9,0.01,1958,3.62,1076,1.98,24,0.04,4859,8.98,10074,18.62,6927,12.8,8,0.01,10,0.01,27.0,0.04,490,0.9,1315,2.43,14451,26.71,22,0.04,2876,5.31
5,Žilinský kraj,506,Ružomberok,32859,121,0.36,17,0.05,4916,14.96,54,0.16,3044,9.26,164,0.49,11,0.03,11.0,0.03,24,0.07,17,0.05,13,0.03,1841,5.6,891,2.71,29,0.08,2898,8.81,6489,19.74,4801,14.61,17,0.05,21,0.06,15.0,0.04,349,1.06,1097,3.33,3683,11.2,37,0.11,2299,6.99
5,Žilinský kraj,507,Žilina,132403,332,0.25,41,0.03,22774,17.2,205,0.15,8817,6.65,373,0.28,33,0.02,56.0,0.04,96,0.07,38,0.02,52,0.03,8248,6.22,2407,1.81,105,0.07,10604,8.0,37288,28.16,20190,15.24,19,0.01,97,0.07,28.0,0.02,1154,0.87,4001,3.02,8418,6.35,83,0.06,6944,5.24
6,Banskobystrický kraj,601,Banská Bystrica,62387,191,0.3,20,0.03,13541,21.7,44,0.07,3077,4.93,220,0.35,59,0.09,12.0,0.01,92,0.14,19,0.03,27,0.04,4723,7.57,1361,2.18,59,0.09,3866,6.19,12855,20.6,13782,22.09,54,0.08,84,0.13,14.0,0.02,776,1.24,1957,3.13,3144,5.03,52,0.08,2358,3.77
6,Banskobystrický kraj,602,Brezno,31217,127,0.4,14,0.04,4214,13.49,31,0.09,2278,7.29,143,0.45,13,0.04,12.0,0.03,55,0.17,9,0.02,10,0.03,1540,4.93,876,2.8,34,0.1,2317,7.42,7580,24.28,6909,22.13,26,0.08,165,0.52,14.0,0.04,366,1.17,688,2.2,1432,4.58,24,0.07,2340,7.49
6,Banskobystrický kraj,603,Lučenec,41033,209,0.5,57,0.13,5000,12.18,43,0.1,3847,9.37,208,0.5,112,0.27,14.0,0.03,369,0.89,32,0.07,16,0.03,1448,3.52,1103,2.68,33,0.08,2336,5.69,10117,24.65,8068,19.66,3285,8.0,37,0.09,14.0,0.03,547,1.33,725,1.76,1198,2.91,21,0.05,2194,5.34
6,Banskobystrický kraj,604,Rimavská Sobota,47863,437,0.91,73,0.15,4156,8.68,63,0.13,5998,12.53,159,0.33,336,0.7,16.0,0.03,176,0.36,20,0.04,38,0.07,1424,2.97,2006,4.19,30,0.06,2016,4.21,9060,18.92,7230,15.1,9932,20.75,37,0.07,14.0,0.02,575,1.2,762,1.59,819,1.71,39,0.08,2447,5.11
6,Banskobystrický kraj,605,Veľký Krtíš,20003,110,0.54,19,0.09,1950,9.74,26,0.12,1737,8.68,51,0.25,84,0.41,11.0,0.05,267,1.33,9,0.04,10,0.04,590,2.94,416,2.07,12,0.05,828,4.13,4563,22.81,4023,20.11,3049,15.24,105,0.52,3.0,0.01,390,1.94,293,1.46,429,2.14,11,0.05,1017,5.08
6,Banskobystrický kraj,606,Zvolen,66941,199,0.29,36,0.05,10846,16.2,53,0.07,3900,5.82,328,0.48,32,0.04,39.0,0.05,118,0.17,28,0.04,34,0.05,4115,6.14,1618,2.41,56,0.08,5926,8.85,16582,24.77,13001,19.42,61,0.09,64,0.09,14.0,0.02,765,1.14,1801,2.69,3873,5.78,52,0.07,3400,5.07
6,Banskobystrický kraj,607,Žiar nad Hronom,48115,206,0.42,27,0.05,7825,16.26,38,0.07,2696,5.6,266,0.55,15,0.03,24.0,0.04,65,0.13,29,0.06,30,0.06,2493,5.18,1298,2.69,128,0.26,3479,7.23,11935,24.8,9763,20.29,37,0.07,67,0.13,11.0,0.02,809,1.68,1399,2.9,2736,5.68,32,0.06,2707,5.62
