Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Počet platných hlasov spolu,Počet platných hlasov za Piráti,Podiel platných hlasov v % za Piráti,Počet platných hlasov za PRINCÍP,Podiel platných hlasov v % za PRINCÍP,Počet platných hlasov za PS,Podiel platných hlasov v % za PS,Počet platných hlasov za SOS,Podiel platných hlasov v % za SOS,"Počet platných hlasov za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ","Podiel platných hlasov v % za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ",Počet platných hlasov za KSS,Podiel platných hlasov v % za KSS,"Počet platných hlasov za MF, ODS, ZR, RK, DS","Podiel platných hlasov v % za MF, ODS, ZR, RK, DS",Počet platných hlasov za VB,Podiel platných hlasov v % za VB,Počet platných hlasov za MM,Podiel platných hlasov v % za MM,Počet platných hlasov za SPRAVODLIVOSŤ,Podiel platných hlasov v % za SPRAVODLIVOSŤ,Počet platných hlasov za SHO,Podiel platných hlasov v % za SHO,Počet platných hlasov za SaS,Podiel platných hlasov v % za SaS,Počet platných hlasov za SME RODINA,Podiel platných hlasov v % za SME RODINA,Počet platných hlasov za MySlovensko,Podiel platných hlasov v % za MySlovensko,Počet platných hlasov za SNS,Podiel platných hlasov v % za SNS,Počet platných hlasov za SMER - SD,Podiel platných hlasov v % za SMER - SD,Počet platných hlasov za HLAS - SD,Podiel platných hlasov v % za HLAS - SD,Počet platných hlasov za SZÖVETSÉG - ALIANCIA,Podiel platných hlasov v % za SZÖVETSÉG - ALIANCIA,Počet platných hlasov za SRDCE - SNJ,Podiel platných hlasov v % za SRDCE - SNJ,Počet platných hlasov za SDKÚ - DS,Podiel platných hlasov v % za SDKÚ - DS,Počet platných hlasov za ĽSNS,Podiel platných hlasov v % za ĽSNS,Počet platných hlasov za Demokrati,Podiel platných hlasov v % za Demokrati,Počet platných hlasov za KDH,Podiel platných hlasov v % za KDH,Počet platných hlasov za KARMA,Podiel platných hlasov v % za KARMA,Počet platných hlasov za REPUBLIKA,Podiel platných hlasov v % za REPUBLIKA
4,Nitriansky kraj,402,Levice,402,Levice,502227,Farná,648,4.0,0.61,1.0,0.15,26.0,4.01,,,52.0,8.02,1.0,0.15,3.0,0.46,,,3.0,0.46,,,,,2.0,0.3,7.0,1.08,,,7.0,1.08,79.0,12.19,38.0,5.86,397.0,61.26,,,1.0,0.15,7.0,1.08,4.0,0.61,5.0,0.77,,,11.0,1.69
4,Nitriansky kraj,402,Levice,402,Levice,502243,Hokovce,269,1.0,0.37,1.0,0.37,19.0,7.06,,,30.0,11.15,2.0,0.74,3.0,1.11,,,3.0,1.11,,,,,3.0,1.11,8.0,2.97,,,7.0,2.6,53.0,19.7,40.0,14.86,65.0,24.16,2.0,0.74,,,2.0,0.74,2.0,0.74,8.0,2.97,,,20.0,7.43
4,Nitriansky kraj,402,Levice,402,Levice,502251,Hontianska Vrbica,283,1.0,0.35,,,42.0,14.84,1.0,0.35,33.0,11.66,,,2.0,0.7,,,,,,,,,10.0,3.53,7.0,2.47,,,5.0,1.76,57.0,20.14,26.0,9.18,54.0,19.08,,,,,2.0,0.7,7.0,2.47,4.0,1.41,,,32.0,11.3
4,Nitriansky kraj,402,Levice,402,Levice,545350,Hontianske Trsťany,204,1.0,0.49,,,34.0,16.66,,,10.0,4.9,,,,,,,,,,,,,7.0,3.43,3.0,1.47,1.0,0.49,17.0,8.33,32.0,15.68,41.0,20.09,,,,,,,13.0,6.37,8.0,3.92,26.0,12.74,2.0,0.98,9.0,4.41
4,Nitriansky kraj,402,Levice,402,Levice,502260,Horná Seč,374,,,,,64.0,17.11,,,37.0,9.89,,,2.0,0.53,,,4.0,1.06,,,2.0,0.53,37.0,9.89,11.0,2.94,,,11.0,2.94,53.0,14.17,56.0,14.97,34.0,9.09,,,,,1.0,0.26,28.0,7.48,22.0,5.88,,,12.0,3.2
4,Nitriansky kraj,402,Levice,402,Levice,502278,Horné Semerovce,281,1.0,0.35,,,18.0,6.4,,,42.0,14.94,1.0,0.35,2.0,0.71,,,1.0,0.35,,,,,5.0,1.77,7.0,2.49,,,12.0,4.27,65.0,23.13,56.0,19.92,49.0,17.43,,,,,2.0,0.71,7.0,2.49,6.0,2.13,,,7.0,2.49
4,Nitriansky kraj,402,Levice,402,Levice,502286,Horné Turovce,280,2.0,0.71,,,17.0,6.07,,,50.0,17.85,,,1.0,0.35,,,,,,,,,4.0,1.42,5.0,1.78,,,5.0,1.78,39.0,13.92,23.0,8.21,112.0,40.0,,,,,5.0,1.78,3.0,1.07,7.0,2.5,1.0,0.35,6.0,2.14
4,Nitriansky kraj,402,Levice,402,Levice,502294,Horný Pial,133,1.0,0.75,,,11.0,8.27,,,22.0,16.54,,,2.0,1.5,,,2.0,1.5,,,,,1.0,0.75,2.0,1.5,1.0,0.75,1.0,0.75,37.0,27.81,17.0,12.78,19.0,14.28,1.0,0.75,,,,,6.0,4.51,5.0,3.75,,,5.0,3.75
4,Nitriansky kraj,402,Levice,402,Levice,581895,Hrkovce,135,1.0,0.74,,,18.0,13.33,,,21.0,15.55,,,1.0,0.74,,,3.0,2.22,,,,,8.0,5.92,,,,,3.0,2.22,25.0,18.51,9.0,6.66,39.0,28.88,,,,,4.0,2.96,2.0,1.48,1.0,0.74,,,,
4,Nitriansky kraj,402,Levice,402,Levice,502324,Hronovce,644,5.0,0.77,1.0,0.15,45.0,6.98,,,95.0,14.75,9.0,1.39,4.0,0.62,,,9.0,1.39,,,1.0,0.15,20.0,3.1,19.0,2.95,1.0,0.15,31.0,4.81,140.0,21.73,74.0,11.49,135.0,20.96,1.0,0.15,,,13.0,2.01,5.0,0.77,6.0,0.93,2.0,0.31,28.0,4.34
4,Nitriansky kraj,402,Levice,402,Levice,502332,Hronské Kľačany,879,1.0,0.11,2.0,0.22,155.0,17.63,,,66.0,7.5,4.0,0.45,,,,,1.0,0.11,1.0,0.11,3.0,0.34,38.0,4.32,24.0,2.73,1.0,0.11,53.0,6.02,157.0,17.86,149.0,16.95,1.0,0.11,2.0,0.22,,,9.0,1.02,28.0,3.18,133.0,15.13,,,51.0,5.8
4,Nitriansky kraj,402,Levice,402,Levice,502341,Hronské Kosihy,406,,,,,71.0,17.48,,,42.0,10.34,2.0,0.49,,,,,,,,,1.0,0.24,18.0,4.43,11.0,2.7,,,8.0,1.97,115.0,28.32,70.0,17.24,2.0,0.49,,,,,4.0,0.98,12.0,2.95,24.0,5.91,,,26.0,6.4
4,Nitriansky kraj,402,Levice,402,Levice,502359,Iňa,142,1.0,0.7,,,19.0,13.38,,,6.0,4.22,,,,,,,,,,,,,4.0,2.81,5.0,3.52,,,11.0,7.74,45.0,31.69,32.0,22.53,2.0,1.4,,,,,3.0,2.11,1.0,0.7,3.0,2.11,,,10.0,7.04
4,Nitriansky kraj,402,Levice,402,Levice,502367,Ipeľské Úľany,162,,,,,6.0,3.7,,,5.0,3.08,,,,,,,2.0,1.23,,,,,1.0,0.61,3.0,1.85,,,,,12.0,7.4,7.0,4.32,111.0,68.51,,,,,5.0,3.08,,,4.0,2.46,,,6.0,3.7
4,Nitriansky kraj,402,Levice,402,Levice,502375,Ipeľský Sokolec,390,1.0,0.25,1.0,0.25,23.0,5.89,,,59.0,15.12,,,3.0,0.76,,,7.0,1.79,,,,,3.0,0.76,2.0,0.51,,,3.0,0.76,30.0,7.69,21.0,5.38,225.0,57.69,,,,,4.0,1.02,,,,,,,8.0,2.05
4,Nitriansky kraj,402,Levice,402,Levice,502383,Jabloňovce,166,,,,,27.0,16.26,,,8.0,4.81,1.0,0.6,,,,,,,,,1.0,0.6,4.0,2.4,4.0,2.4,,,14.0,8.43,55.0,33.13,30.0,18.07,6.0,3.61,,,,,2.0,1.2,5.0,3.01,2.0,1.2,,,7.0,4.21
4,Nitriansky kraj,402,Levice,402,Levice,556777,Jesenské,30,,,,,7.0,23.33,,,1.0,3.33,,,,,,,,,,,,,,,,,,,5.0,16.66,8.0,26.66,6.0,20.0,,,,,,,1.0,3.33,,,1.0,3.33,,,1.0,3.33
4,Nitriansky kraj,402,Levice,402,Levice,502391,Jur nad Hronom,532,2.0,0.37,,,52.0,9.77,,,68.0,12.78,,,2.0,0.37,,,2.0,0.37,1.0,0.18,,,25.0,4.69,21.0,3.94,,,10.0,1.87,110.0,20.67,80.0,15.03,96.0,18.04,,,,,8.0,1.5,14.0,2.63,12.0,2.25,2.0,0.37,27.0,5.07
4,Nitriansky kraj,402,Levice,402,Levice,502413,Kalná nad Hronom,1028,5.0,0.48,,,188.0,18.28,,,80.0,7.78,15.0,1.45,2.0,0.19,,,7.0,0.68,2.0,0.19,,,73.0,7.1,20.0,1.94,1.0,0.09,45.0,4.37,206.0,20.03,167.0,16.24,67.0,6.51,,,,,10.0,0.97,42.0,4.08,41.0,3.98,,,57.0,5.54
4,Nitriansky kraj,402,Levice,402,Levice,502472,Keť,347,,,,,13.0,3.74,,,13.0,3.74,,,,,,,13.0,3.74,,,,,,,,,,,3.0,0.86,34.0,9.79,15.0,4.32,247.0,71.18,1.0,0.28,,,2.0,0.57,2.0,0.57,2.0,0.57,,,2.0,0.57
4,Nitriansky kraj,402,Levice,402,Levice,502421,Kozárovce,1145,3.0,0.26,,,147.0,12.83,,,44.0,3.84,,,1.0,0.08,,,,,2.0,0.17,1.0,0.08,50.0,4.36,22.0,1.92,3.0,0.26,83.0,7.24,339.0,29.6,186.0,16.24,1.0,0.08,2.0,0.17,,,14.0,1.22,16.0,1.39,164.0,14.32,3.0,0.26,64.0,5.58
4,Nitriansky kraj,402,Levice,402,Levice,502430,Krškany,433,,,,,49.0,11.31,1.0,0.23,30.0,6.92,2.0,0.46,,,,,,,,,,,19.0,4.38,17.0,3.92,,,22.0,5.08,96.0,22.17,98.0,22.63,,,2.0,0.46,,,11.0,2.54,6.0,1.38,60.0,13.85,,,20.0,4.61
4,Nitriansky kraj,402,Levice,402,Levice,502448,Kubáňovo,153,1.0,0.65,,,3.0,1.96,,,9.0,5.88,,,,,,,5.0,3.26,,,,,2.0,1.3,1.0,0.65,,,8.0,5.22,24.0,15.68,7.0,4.57,87.0,56.86,,,,,,,2.0,1.3,3.0,1.96,,,1.0,0.65
4,Nitriansky kraj,402,Levice,402,Levice,502456,Kukučínov,223,2.0,0.89,1.0,0.44,30.0,13.45,,,35.0,15.69,,,,,,,1.0,0.44,,,,,10.0,4.48,8.0,3.58,,,1.0,0.44,52.0,23.31,54.0,24.21,12.0,5.38,,,,,1.0,0.44,1.0,0.44,2.0,0.89,,,13.0,5.82
4,Nitriansky kraj,402,Levice,402,Levice,502464,Kuraľany,279,1.0,0.35,,,27.0,9.67,,,22.0,7.88,1.0,0.35,,,,,1.0,0.35,,,,,4.0,1.43,5.0,1.79,,,19.0,6.81,89.0,31.89,66.0,23.65,1.0,0.35,,,1.0,0.35,4.0,1.43,6.0,2.15,19.0,6.81,,,13.0,4.65
4,Nitriansky kraj,402,Levice,402,Levice,502031,Levice,16706,41.0,0.24,8.0,0.04,3697.0,22.12,9.0,0.05,1421.0,8.5,52.0,0.31,26.0,0.15,3.0,0.01,56.0,0.33,7.0,0.04,13.0,0.07,1156.0,6.91,438.0,2.62,10.0,0.05,695.0,4.16,3647.0,21.83,2573.0,15.4,653.0,3.9,16.0,0.09,2.0,0.01,161.0,0.96,535.0,3.2,687.0,4.11,14.0,0.08,786.0,4.7
4,Nitriansky kraj,402,Levice,402,Levice,502481,Lok,442,2.0,0.45,,,48.0,10.85,,,30.0,6.78,4.0,0.9,,,,,1.0,0.22,,,,,14.0,3.16,10.0,2.26,,,25.0,5.65,144.0,32.57,83.0,18.77,11.0,2.48,1.0,0.22,1.0,0.22,8.0,1.8,5.0,1.13,8.0,1.8,,,47.0,10.63
4,Nitriansky kraj,402,Levice,402,Levice,502499,Lontov,241,5.0,2.07,,,13.0,5.39,2.0,0.82,60.0,24.89,1.0,0.41,,,,,,,,,,,2.0,0.82,4.0,1.65,,,1.0,0.41,31.0,12.86,14.0,5.8,89.0,36.92,,,,,6.0,2.48,,,1.0,0.41,,,12.0,4.97
4,Nitriansky kraj,402,Levice,402,Levice,502502,Lula,93,,,,,6.0,6.45,,,3.0,3.22,,,,,,,,,,,,,,,1.0,1.07,,,8.0,8.6,46.0,49.46,16.0,17.2,1.0,1.07,,,,,4.0,4.3,1.0,1.07,2.0,2.15,,,5.0,5.37
4,Nitriansky kraj,402,Levice,402,Levice,502511,Málaš,204,,,,,20.0,9.8,,,31.0,15.19,1.0,0.49,11.0,5.39,,,1.0,0.49,1.0,0.49,,,4.0,1.96,6.0,2.94,,,3.0,1.47,41.0,20.09,32.0,15.68,39.0,19.11,1.0,0.49,,,2.0,0.98,1.0,0.49,2.0,0.98,,,8.0,3.92
4,Nitriansky kraj,402,Levice,402,Levice,581135,Malé Kozmálovce,220,,,,,14.0,6.36,,,12.0,5.45,4.0,1.81,,,,,,,,,,,5.0,2.27,6.0,2.72,,,7.0,3.18,97.0,44.09,40.0,18.18,6.0,2.72,,,,,8.0,3.63,4.0,1.81,7.0,3.18,,,10.0,4.54
4,Nitriansky kraj,402,Levice,402,Levice,502537,Malé Ludince,99,,,,,2.0,2.02,,,2.0,2.02,,,,,,,,,,,,,4.0,4.04,,,,,1.0,1.01,5.0,5.05,2.0,2.02,82.0,82.82,,,,,,,,,,,,,1.0,1.01
4,Nitriansky kraj,402,Levice,402,Levice,502570,Mýtne Ludany,431,6.0,1.39,,,54.0,12.52,2.0,0.46,53.0,12.29,1.0,0.23,2.0,0.46,,,1.0,0.23,,,,,15.0,3.48,15.0,3.48,,,14.0,3.24,75.0,17.4,47.0,10.9,108.0,25.05,,,,,3.0,0.69,5.0,1.16,13.0,3.01,,,17.0,3.94
4,Nitriansky kraj,402,Levice,402,Levice,502588,Nová Dedina,902,3.0,0.33,,,122.0,13.52,1.0,0.11,44.0,4.87,4.0,0.44,,,1.0,0.11,1.0,0.11,,,,,38.0,4.21,31.0,3.43,,,82.0,9.09,235.0,26.05,150.0,16.62,,,,,,,14.0,1.55,31.0,3.43,82.0,9.09,3.0,0.33,60.0,6.65
4,Nitriansky kraj,402,Levice,402,Levice,502596,Nový Tekov,520,2.0,0.38,,,77.0,14.8,,,51.0,9.8,3.0,0.57,,,,,2.0,0.38,,,,,24.0,4.61,19.0,3.65,,,21.0,4.03,144.0,27.69,78.0,15.0,18.0,3.46,,,1.0,0.19,10.0,1.92,13.0,2.5,17.0,3.26,,,40.0,7.69
4,Nitriansky kraj,402,Levice,402,Levice,502600,Nýrovce,251,,,,,18.0,7.17,,,11.0,4.38,2.0,0.79,2.0,0.79,,,3.0,1.19,,,,,1.0,0.39,4.0,1.59,,,,,52.0,20.71,34.0,13.54,113.0,45.01,,,,,1.0,0.39,1.0,0.39,,,1.0,0.39,8.0,3.18
4,Nitriansky kraj,402,Levice,402,Levice,502618,Ondrejovce,205,3.0,1.46,,,28.0,13.65,1.0,0.48,29.0,14.14,,,,,,,2.0,0.97,,,,,6.0,2.92,6.0,2.92,1.0,0.48,3.0,1.46,53.0,25.85,28.0,13.65,14.0,6.82,,,,,4.0,1.95,8.0,3.9,3.0,1.46,,,16.0,7.8
4,Nitriansky kraj,402,Levice,402,Levice,502626,Pastovce,208,4.0,1.92,,,10.0,4.8,1.0,0.48,23.0,11.05,,,1.0,0.48,,,,,1.0,0.48,,,3.0,1.44,1.0,0.48,,,1.0,0.48,31.0,14.9,6.0,2.88,123.0,59.13,,,,,,,1.0,0.48,,,,,2.0,0.96
4,Nitriansky kraj,402,Levice,402,Levice,502634,Pečenice,101,1.0,0.99,,,12.0,11.88,,,4.0,3.96,,,,,1.0,0.99,,,,,,,4.0,3.96,6.0,5.94,2.0,1.98,6.0,5.94,17.0,16.83,27.0,26.73,,,,,,,3.0,2.97,2.0,1.98,12.0,11.88,,,4.0,3.96
4,Nitriansky kraj,402,Levice,402,Levice,502642,Plášťovce,749,5.0,0.66,,,50.0,6.67,,,48.0,6.4,7.0,0.93,4.0,0.53,1.0,0.13,1.0,0.13,1.0,0.13,4.0,0.53,21.0,2.8,13.0,1.73,7.0,0.93,14.0,1.86,99.0,13.21,55.0,7.34,360.0,48.06,,,,,8.0,1.06,10.0,1.33,7.0,0.93,1.0,0.13,33.0,4.4
4,Nitriansky kraj,402,Levice,402,Levice,502651,Plavé Vozokany,324,2.0,0.61,,,49.0,15.12,,,38.0,11.72,1.0,0.3,,,,,,,,,2.0,0.61,9.0,2.77,8.0,2.46,,,15.0,4.62,111.0,34.25,65.0,20.06,,,,,,,5.0,1.54,4.0,1.23,2.0,0.61,1.0,0.3,12.0,3.7
4,Nitriansky kraj,402,Levice,402,Levice,502669,Podlužany,466,1.0,0.21,,,76.0,16.3,,,37.0,7.93,1.0,0.21,,,,,,,,,,,25.0,5.36,14.0,3.0,,,34.0,7.29,131.0,28.11,72.0,15.45,,,,,1.0,0.21,3.0,0.64,12.0,2.57,34.0,7.29,,,25.0,5.36
4,Nitriansky kraj,402,Levice,402,Levice,502677,Pohronský Ruskov,537,2.0,0.37,,,46.0,8.56,,,56.0,10.42,1.0,0.18,2.0,0.37,,,2.0,0.37,,,,,12.0,2.23,17.0,3.16,,,5.0,0.93,97.0,18.06,57.0,10.61,209.0,38.91,,,,,5.0,0.93,1.0,0.18,6.0,1.11,1.0,0.18,18.0,3.35
4,Nitriansky kraj,402,Levice,402,Levice,502693,Pukanec,1054,5.0,0.47,2.0,0.18,132.0,12.52,3.0,0.28,82.0,7.77,7.0,0.66,,,,,1.0,0.09,1.0,0.09,,,44.0,4.17,23.0,2.18,,,56.0,5.31,329.0,31.21,213.0,20.2,2.0,0.18,,,,,16.0,1.51,11.0,1.04,49.0,4.64,,,78.0,7.4
4,Nitriansky kraj,402,Levice,402,Levice,502707,Rybník,847,3.0,0.35,,,128.0,15.11,,,33.0,3.89,4.0,0.47,,,,,2.0,0.23,,,,,29.0,3.42,12.0,1.41,,,64.0,7.55,258.0,30.46,174.0,20.54,,,1.0,0.11,,,4.0,0.47,28.0,3.3,49.0,5.78,,,58.0,6.84
4,Nitriansky kraj,402,Levice,402,Levice,502715,Santovka,386,3.0,0.77,1.0,0.25,47.0,12.17,,,30.0,7.77,1.0,0.25,1.0,0.25,,,,,,,,,16.0,4.14,22.0,5.69,2.0,0.51,17.0,4.4,100.0,25.9,71.0,18.39,8.0,2.07,,,1.0,0.25,9.0,2.33,13.0,3.36,25.0,6.47,,,19.0,4.92
4,Nitriansky kraj,402,Levice,402,Levice,502723,Sazdice,173,2.0,1.15,,,20.0,11.56,,,13.0,7.51,,,2.0,1.15,,,1.0,0.57,,,,,2.0,1.15,5.0,2.89,,,4.0,2.31,14.0,8.09,19.0,10.98,78.0,45.08,,,,,,,2.0,1.15,4.0,2.31,,,7.0,4.04
4,Nitriansky kraj,402,Levice,402,Levice,502731,Sikenica,212,1.0,0.47,,,18.0,8.49,,,53.0,25.0,,,1.0,0.47,,,,,,,1.0,0.47,2.0,0.94,6.0,2.83,,,2.0,0.94,47.0,22.16,36.0,16.98,22.0,10.37,,,,,2.0,0.94,10.0,4.71,,,,,11.0,5.18
4,Nitriansky kraj,402,Levice,402,Levice,502740,Slatina,101,3.0,2.97,,,1.0,0.99,,,12.0,11.88,,,2.0,1.98,,,,,1.0,0.99,,,1.0,0.99,3.0,2.97,,,4.0,3.96,9.0,8.91,21.0,20.79,38.0,37.62,,,,,3.0,2.97,,,,,,,3.0,2.97
4,Nitriansky kraj,402,Levice,402,Levice,502758,Starý Hrádok,104,,,,,19.0,18.26,,,21.0,20.19,,,,,,,1.0,0.96,,,,,5.0,4.8,,,,,3.0,2.88,17.0,16.34,21.0,20.19,8.0,7.69,,,,,,,2.0,1.92,6.0,5.76,,,1.0,0.96
4,Nitriansky kraj,402,Levice,402,Levice,502766,Starý Tekov,948,,,,,161.0,16.98,,,49.0,5.16,2.0,0.21,,,,,2.0,0.21,2.0,0.21,1.0,0.1,57.0,6.01,30.0,3.16,2.0,0.21,72.0,7.59,206.0,21.72,175.0,18.45,,,2.0,0.21,3.0,0.31,7.0,0.73,50.0,5.27,86.0,9.07,,,41.0,4.32
4,Nitriansky kraj,402,Levice,402,Levice,502782,Šahy,3175,7.0,0.22,1.0,0.03,369.0,11.62,1.0,0.03,309.0,9.73,10.0,0.31,15.0,0.47,1.0,0.03,19.0,0.59,2.0,0.06,1.0,0.03,109.0,3.43,47.0,1.48,,,48.0,1.51,532.0,16.75,327.0,10.29,1175.0,37.0,6.0,0.18,1.0,0.03,35.0,1.1,43.0,1.35,39.0,1.22,,,78.0,2.45
4,Nitriansky kraj,402,Levice,402,Levice,502791,Šalov,77,1.0,1.29,,,3.0,3.89,,,23.0,29.87,1.0,1.29,,,1.0,1.29,1.0,1.29,,,,,,,,,,,,,11.0,14.28,6.0,7.79,26.0,33.76,,,,,1.0,1.29,,,,,,,3.0,3.89
4,Nitriansky kraj,402,Levice,402,Levice,502804,Šarovce,541,2.0,0.36,1.0,0.18,44.0,8.13,,,221.0,40.85,,,,,,,4.0,0.73,,,,,4.0,0.73,9.0,1.66,,,15.0,2.77,105.0,19.4,55.0,10.16,62.0,11.46,1.0,0.18,,,3.0,0.55,4.0,0.73,2.0,0.36,,,9.0,1.66
4,Nitriansky kraj,402,Levice,402,Levice,502812,Tehla,217,1.0,0.46,,,22.0,10.13,,,20.0,9.21,,,1.0,0.46,,,1.0,0.46,,,,,17.0,7.83,7.0,3.22,,,9.0,4.14,50.0,23.04,50.0,23.04,19.0,8.75,2.0,0.92,,,7.0,3.22,,,5.0,2.3,,,6.0,2.76
4,Nitriansky kraj,402,Levice,402,Levice,502821,Tekovské Lužany,1185,5.0,0.42,1.0,0.08,136.0,11.47,1.0,0.08,151.0,12.74,7.0,0.59,4.0,0.33,,,5.0,0.42,,,8.0,0.67,45.0,3.79,21.0,1.77,1.0,0.08,22.0,1.85,282.0,23.79,156.0,13.16,193.0,16.28,,,1.0,0.08,21.0,1.77,33.0,2.78,24.0,2.02,4.0,0.33,64.0,5.4
4,Nitriansky kraj,402,Levice,402,Levice,502847,Tekovský Hrádok,159,1.0,0.62,,,14.0,8.8,,,13.0,8.17,2.0,1.25,3.0,1.88,,,,,,,2.0,1.25,2.0,1.25,4.0,2.51,,,2.0,1.25,49.0,30.81,24.0,15.09,27.0,16.98,,,,,2.0,1.25,2.0,1.25,,,,,12.0,7.54
4,Nitriansky kraj,402,Levice,402,Levice,502863,Tlmače,2034,4.0,0.19,,,322.0,15.83,2.0,0.09,135.0,6.63,11.0,0.54,4.0,0.19,1.0,0.04,4.0,0.19,,,1.0,0.04,102.0,5.01,52.0,2.55,,,139.0,6.83,586.0,28.81,397.0,19.51,1.0,0.04,6.0,0.29,,,19.0,0.93,31.0,1.52,94.0,4.62,1.0,0.04,122.0,5.99
4,Nitriansky kraj,402,Levice,402,Levice,502871,Tupá,309,,,,,35.0,11.32,1.0,0.32,33.0,10.67,1.0,0.32,3.0,0.97,,,,,,,,,18.0,5.82,12.0,3.88,,,6.0,1.94,66.0,21.35,56.0,18.12,40.0,12.94,,,,,9.0,2.91,1.0,0.32,4.0,1.29,,,24.0,7.76
4,Nitriansky kraj,402,Levice,402,Levice,502880,Turá,97,2.0,2.06,,,1.0,1.03,,,11.0,11.34,1.0,1.03,,,,,,,,,,,1.0,1.03,15.0,15.46,,,5.0,5.15,32.0,32.98,10.0,10.3,15.0,15.46,1.0,1.03,,,1.0,1.03,1.0,1.03,,,,,1.0,1.03
4,Nitriansky kraj,402,Levice,402,Levice,502898,Uhliská,137,3.0,2.18,,,21.0,15.32,,,11.0,8.02,,,,,,,,,,,,,11.0,8.02,3.0,2.18,,,8.0,5.83,46.0,33.57,20.0,14.59,,,,,,,2.0,1.45,4.0,2.91,1.0,0.72,,,7.0,5.1
4,Nitriansky kraj,402,Levice,402,Levice,581160,Veľké Kozmálovce,448,4.0,0.89,,,65.0,14.5,1.0,0.22,35.0,7.81,2.0,0.44,,,,,,,,,,,14.0,3.12,14.0,3.12,1.0,0.22,35.0,7.81,105.0,23.43,66.0,14.73,,,,,,,2.0,0.44,24.0,5.35,52.0,11.6,1.0,0.22,27.0,6.02
4,Nitriansky kraj,402,Levice,402,Levice,502910,Veľké Ludince,663,4.0,0.6,4.0,0.6,31.0,4.67,,,52.0,7.84,,,1.0,0.15,,,6.0,0.9,,,,,3.0,0.45,5.0,0.75,1.0,0.15,5.0,0.75,89.0,13.42,50.0,7.54,382.0,57.61,,,,,1.0,0.15,4.0,0.6,3.0,0.45,,,22.0,3.31
4,Nitriansky kraj,402,Levice,402,Levice,502928,Veľké Turovce,421,1.0,0.23,,,34.0,8.07,,,69.0,16.38,,,4.0,0.95,,,9.0,2.13,,,,,4.0,0.95,9.0,2.13,1.0,0.23,7.0,1.66,90.0,21.37,46.0,10.92,122.0,28.97,4.0,0.95,1.0,0.23,8.0,1.9,2.0,0.47,,,,,10.0,2.37
4,Nitriansky kraj,402,Levice,402,Levice,502936,Veľký Ďur,696,1.0,0.14,,,88.0,12.64,1.0,0.14,55.0,7.9,4.0,0.57,1.0,0.14,,,1.0,0.14,,,1.0,0.14,45.0,6.46,30.0,4.31,2.0,0.28,19.0,2.72,174.0,25.0,120.0,17.24,2.0,0.28,1.0,0.14,1.0,0.14,33.0,4.74,16.0,2.29,33.0,4.74,,,68.0,9.77
4,Nitriansky kraj,402,Levice,402,Levice,502944,Vyškovce nad Ipľom,309,3.0,0.97,1.0,0.32,19.0,6.14,,,39.0,12.62,,,2.0,0.64,,,4.0,1.29,,,,,,,7.0,2.26,,,4.0,1.29,46.0,14.88,14.0,4.53,133.0,43.04,2.0,0.64,,,24.0,7.76,1.0,0.32,2.0,0.64,,,8.0,2.58
4,Nitriansky kraj,402,Levice,402,Levice,502952,Vyšné nad Hronom,90,,,,,7.0,7.77,2.0,2.22,8.0,8.88,1.0,1.11,,,,,1.0,1.11,,,,,1.0,1.11,2.0,2.22,,,1.0,1.11,23.0,25.55,12.0,13.33,30.0,33.33,,,,,,,,,1.0,1.11,,,1.0,1.11
4,Nitriansky kraj,402,Levice,402,Levice,502961,Zalaba,81,,,,,1.0,1.23,,,3.0,3.7,,,,,,,,,,,,,2.0,2.46,1.0,1.23,,,2.0,2.46,7.0,8.64,7.0,8.64,54.0,66.66,,,,,,,1.0,1.23,2.0,2.46,,,1.0,1.23
4,Nitriansky kraj,402,Levice,402,Levice,502979,Zbrojníky,252,2.0,0.79,1.0,0.39,40.0,15.87,,,32.0,12.69,,,,,,,,,1.0,0.39,,,10.0,3.96,14.0,5.55,,,7.0,2.77,37.0,14.68,47.0,18.65,33.0,13.09,,,,,2.0,0.79,3.0,1.19,5.0,1.98,,,18.0,7.14
4,Nitriansky kraj,402,Levice,402,Levice,502987,Želiezovce,3264,7.0,0.21,1.0,0.03,470.0,14.39,,,401.0,12.28,12.0,0.36,14.0,0.42,2.0,0.06,31.0,0.94,3.0,0.09,2.0,0.06,102.0,3.12,72.0,2.2,,,53.0,1.62,557.0,17.06,372.0,11.39,904.0,27.69,9.0,0.27,,,23.0,0.7,68.0,2.08,45.0,1.37,2.0,0.06,114.0,3.49
4,Nitriansky kraj,402,Levice,402,Levice,502995,Žemberovce,694,,,,,81.0,11.67,,,52.0,7.49,7.0,1.0,1.0,0.14,,,,,,,,,36.0,5.18,26.0,3.74,1.0,0.14,48.0,6.91,195.0,28.09,141.0,20.31,1.0,0.14,,,,,3.0,0.43,16.0,2.3,40.0,5.76,,,46.0,6.62
4,Nitriansky kraj,402,Levice,402,Levice,503002,Žemliare,91,,,,,4.0,4.39,,,1.0,1.09,,,,,,,,,,,,,2.0,2.19,3.0,3.29,,,,,17.0,18.68,12.0,13.18,48.0,52.74,,,,,,,,,,,,,4.0,4.39
