Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Počet platných hlasov spolu,Počet platných hlasov za Piráti,Podiel platných hlasov v % za Piráti,Počet platných hlasov za PRINCÍP,Podiel platných hlasov v % za PRINCÍP,Počet platných hlasov za PS,Podiel platných hlasov v % za PS,Počet platných hlasov za SOS,Podiel platných hlasov v % za SOS,"Počet platných hlasov za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ","Podiel platných hlasov v % za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ",Počet platných hlasov za KSS,Podiel platných hlasov v % za KSS,"Počet platných hlasov za MF, ODS, ZR, RK, DS","Podiel platných hlasov v % za MF, ODS, ZR, RK, DS",Počet platných hlasov za VB,Podiel platných hlasov v % za VB,Počet platných hlasov za MM,Podiel platných hlasov v % za MM,Počet platných hlasov za SPRAVODLIVOSŤ,Podiel platných hlasov v % za SPRAVODLIVOSŤ,Počet platných hlasov za SHO,Podiel platných hlasov v % za SHO,Počet platných hlasov za SaS,Podiel platných hlasov v % za SaS,Počet platných hlasov za SME RODINA,Podiel platných hlasov v % za SME RODINA,Počet platných hlasov za MySlovensko,Podiel platných hlasov v % za MySlovensko,Počet platných hlasov za SNS,Podiel platných hlasov v % za SNS,Počet platných hlasov za SMER - SD,Podiel platných hlasov v % za SMER - SD,Počet platných hlasov za HLAS - SD,Podiel platných hlasov v % za HLAS - SD,Počet platných hlasov za SZÖVETSÉG - ALIANCIA,Podiel platných hlasov v % za SZÖVETSÉG - ALIANCIA,Počet platných hlasov za SRDCE - SNJ,Podiel platných hlasov v % za SRDCE - SNJ,Počet platných hlasov za SDKÚ - DS,Podiel platných hlasov v % za SDKÚ - DS,Počet platných hlasov za ĽSNS,Podiel platných hlasov v % za ĽSNS,Počet platných hlasov za Demokrati,Podiel platných hlasov v % za Demokrati,Počet platných hlasov za KDH,Podiel platných hlasov v % za KDH,Počet platných hlasov za KARMA,Podiel platných hlasov v % za KARMA,Počet platných hlasov za REPUBLIKA,Podiel platných hlasov v % za REPUBLIKA
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,20694,59.0,0.28,2.0,0.0,7447.0,35.98,6.0,0.02,892.0,4.31,29.0,0.14,15.0,0.07,3.0,0.01,70.0,0.33,4.0,0.01,4.0,0.01,3064.0,14.8,304.0,1.46,23.0,0.11,816.0,3.94,3379.0,16.32,1781.0,8.6,78.0,0.37,13.0,0.06,6.0,0.02,133.0,0.64,949.0,4.58,1103.0,5.33,15.0,0.07,499.0,2.41
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,4735,13.0,0.27,,,1459.0,30.81,3.0,0.06,265.0,5.59,4.0,0.08,1.0,0.02,,,8.0,0.16,1.0,0.02,2.0,0.04,596.0,12.58,53.0,1.11,7.0,0.14,216.0,4.56,863.0,18.22,480.0,10.13,13.0,0.27,10.0,0.21,1.0,0.02,25.0,0.52,259.0,5.46,327.0,6.9,,,129.0,2.72
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,4312,8.0,0.18,1.0,0.02,1524.0,35.34,1.0,0.02,227.0,5.26,10.0,0.23,1.0,0.02,,,14.0,0.32,2.0,0.04,,,729.0,16.9,54.0,1.25,1.0,0.02,193.0,4.47,608.0,14.1,343.0,7.95,2.0,0.04,1.0,0.02,,,24.0,0.55,248.0,5.75,220.0,5.1,2.0,0.04,99.0,2.29
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Čunovo,1128,3.0,0.26,,,353.0,31.29,1.0,0.08,140.0,12.41,1.0,0.08,5.0,0.44,1.0,0.08,1.0,0.08,,,,,167.0,14.8,20.0,1.77,1.0,0.08,41.0,3.63,148.0,13.12,90.0,7.97,2.0,0.17,,,1.0,0.08,6.0,0.53,55.0,4.87,67.0,5.93,,,25.0,2.21
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,1916,4.0,0.2,,,610.0,31.83,2.0,0.1,127.0,6.62,2.0,0.1,1.0,0.05,,,6.0,0.31,1.0,0.05,,,289.0,15.08,34.0,1.77,,,76.0,3.96,308.0,16.07,157.0,8.19,16.0,0.83,1.0,0.05,1.0,0.05,7.0,0.36,148.0,7.72,85.0,4.43,1.0,0.05,40.0,2.08
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petržalka,64489,199.0,0.3,14.0,0.02,19647.0,30.46,38.0,0.05,3846.0,5.96,116.0,0.17,35.0,0.05,24.0,0.03,192.0,0.29,20.0,0.03,17.0,0.02,8099.0,12.55,1175.0,1.82,62.0,0.09,2892.0,4.48,12399.0,19.22,6783.0,10.51,338.0,0.52,63.0,0.09,9.0,0.01,377.0,0.58,2944.0,4.56,3116.0,4.83,64.0,0.09,2020.0,3.13
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,2628,14.0,0.53,1.0,0.03,918.0,34.93,1.0,0.03,175.0,6.65,3.0,0.11,3.0,0.11,,,23.0,0.87,2.0,0.07,2.0,0.07,392.0,14.91,42.0,1.59,,,106.0,4.03,384.0,14.61,248.0,9.43,11.0,0.41,1.0,0.03,,,5.0,0.19,145.0,5.51,91.0,3.46,1.0,0.03,60.0,2.28
1,Bratislavský kraj,102,Malacky,106,Malacky,507831,Borinka,581,2.0,0.34,,,196.0,33.73,1.0,0.17,30.0,5.16,,,,,1.0,0.17,2.0,0.34,,,,,64.0,11.01,11.0,1.89,1.0,0.17,28.0,4.81,112.0,19.27,59.0,10.15,,,,,,,3.0,0.51,23.0,3.95,36.0,6.19,,,12.0,2.06
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,1643,4.0,0.24,,,219.0,13.32,1.0,0.06,142.0,8.64,8.0,0.48,,,1.0,0.06,2.0,0.12,,,,,78.0,4.74,46.0,2.79,4.0,0.24,81.0,4.93,552.0,33.59,249.0,15.15,,,,,1.0,0.06,49.0,2.98,47.0,2.86,32.0,1.94,4.0,0.24,123.0,7.48
1,Bratislavský kraj,102,Malacky,106,Malacky,507954,Jablonové,858,4.0,0.46,,,190.0,22.14,2.0,0.23,96.0,11.18,1.0,0.11,,,,,,,,,,,50.0,5.82,16.0,1.86,,,73.0,8.5,174.0,20.27,112.0,13.05,,,3.0,0.34,5.0,0.58,3.0,0.34,38.0,4.42,47.0,5.47,1.0,0.11,43.0,5.01
1,Bratislavský kraj,102,Malacky,106,Malacky,507962,Jakubov,1030,1.0,0.09,,,204.0,19.8,2.0,0.19,99.0,9.61,4.0,0.38,,,,,,,,,,,84.0,8.15,32.0,3.1,1.0,0.09,57.0,5.53,277.0,26.89,152.0,14.75,,,1.0,0.09,,,17.0,1.65,21.0,2.03,29.0,2.81,1.0,0.09,48.0,4.66
1,Bratislavský kraj,102,Malacky,106,Malacky,508012,Kostolište,1310,10.0,0.76,,,283.0,21.6,,,82.0,6.25,1.0,0.07,2.0,0.15,1.0,0.07,1.0,0.07,1.0,0.07,1.0,0.07,112.0,8.54,56.0,4.27,2.0,0.15,58.0,4.42,290.0,22.13,190.0,14.5,,,1.0,0.07,2.0,0.15,14.0,1.06,63.0,4.8,85.0,6.48,2.0,0.15,53.0,4.04
1,Bratislavský kraj,102,Malacky,106,Malacky,508021,Kuchyňa,1040,1.0,0.09,1.0,0.09,173.0,16.63,,,93.0,8.94,7.0,0.67,4.0,0.38,1.0,0.09,1.0,0.09,,,,,81.0,7.78,37.0,3.55,7.0,0.67,54.0,5.19,282.0,27.11,150.0,14.42,,,,,,,12.0,1.15,25.0,2.4,55.0,5.28,1.0,0.09,55.0,5.28
1,Bratislavský kraj,102,Malacky,106,Malacky,508039,Láb,1282,10.0,0.78,,,303.0,23.63,3.0,0.23,90.0,7.02,,,,,1.0,0.07,2.0,0.15,,,,,109.0,8.5,49.0,3.82,,,87.0,6.78,286.0,22.3,144.0,11.23,,,,,,,10.0,0.78,54.0,4.21,56.0,4.36,,,78.0,6.08
1,Bratislavský kraj,102,Malacky,106,Malacky,508055,Lozorno,1747,9.0,0.51,,,443.0,25.35,,,183.0,10.47,6.0,0.34,1.0,0.05,,,3.0,0.17,,,,,182.0,10.41,51.0,2.91,1.0,0.05,92.0,5.26,285.0,16.31,227.0,12.99,,,,,,,22.0,1.25,100.0,5.72,66.0,3.77,1.0,0.05,75.0,4.29
1,Bratislavský kraj,102,Malacky,106,Malacky,508063,Malacky,10211,28.0,0.27,3.0,0.02,2101.0,20.57,6.0,0.05,690.0,6.75,39.0,0.38,2.0,0.01,3.0,0.02,6.0,0.05,5.0,0.04,7.0,0.06,840.0,8.22,285.0,2.79,25.0,0.24,504.0,4.93,2722.0,26.65,1584.0,15.51,7.0,0.06,5.0,0.04,1.0,0.0,71.0,0.69,352.0,3.44,425.0,4.16,10.0,0.09,490.0,4.79
1,Bratislavský kraj,102,Malacky,106,Malacky,504556,Malé Leváre,976,5.0,0.51,1.0,0.1,162.0,16.59,,,161.0,16.49,4.0,0.4,,,,,,,,,,,58.0,5.94,37.0,3.79,1.0,0.1,37.0,3.79,273.0,27.97,121.0,12.39,,,,,,,4.0,0.4,26.0,2.66,22.0,2.25,1.0,0.1,63.0,6.45
