Číslo politického subjektu,Názov politického subjektu,Poradie po zohľadnení prednostného hlasovania,Poradie na hlasovacom lístku,Meno,Priezvisko,Počet platných prednostných hlasov,Podiel platných prednostných hlasov v %,Poznámka
18,SZÖVETSÉG - Magyarok,,123,Gábor,Klenovics,567,,
18,SZÖVETSÉG - Magyarok,,124,Tibor,Bráz,369,,
18,SZÖVETSÉG - Magyarok,,125,Attila,Stubendek,514,,
18,SZÖVETSÉG - Magyarok,,126,Róbert,Baros,557,,
18,SZÖVETSÉG - Magyarok,,127,Miroslav,Kršňák,260,,
18,SZÖVETSÉG - Magyarok,,128,Gabriel,Radošicky,314,,
18,SZÖVETSÉG - Magyarok,,129,Eva,Mocskos,657,,
18,SZÖVETSÉG - Magyarok,,130,Béla,Hajtman,491,,
18,SZÖVETSÉG - Magyarok,,131,Gábor,Nagy,414,,
18,SZÖVETSÉG - Magyarok,,132,Laura,Prešinská,293,,
18,SZÖVETSÉG - Magyarok,,133,Attila,Edmár,214,,
18,SZÖVETSÉG - Magyarok,,134,Eugen,Radič,590,,
18,SZÖVETSÉG - Magyarok,,135,Róbert,Šingliar,74,,
18,SZÖVETSÉG - Magyarok,,136,Vojtech,Mikóczi,257,,
18,SZÖVETSÉG - Magyarok,,137,Tomáš,Óváry,596,,
18,SZÖVETSÉG - Magyarok,,138,Pavel,Élesztős,438,,
18,SZÖVETSÉG - Magyarok,,139,László,Szabó,627,,
18,SZÖVETSÉG - Magyarok,,140,Ákos,Horony,442,,
18,SZÖVETSÉG - Magyarok,,141,Nóra,Zink Vass,520,,
18,SZÖVETSÉG - Magyarok,,142,Tomáš,Horváth,372,,
18,SZÖVETSÉG - Magyarok,,143,Krisztián,Nagy,431,,
18,SZÖVETSÉG - Magyarok,,144,Ján,Ivanecký,151,,
18,SZÖVETSÉG - Magyarok,,145,Béla,Hrubík,1418,,
18,SZÖVETSÉG - Magyarok,,146,István,Mácsadi,1299,,
18,SZÖVETSÉG - Magyarok,,147,György,Nagy,2428,,
18,SZÖVETSÉG - Magyarok,,148,Béla,Halász,4755,,
18,SZÖVETSÉG - Magyarok,,149,György,Gyimesi,31351,,
19,SRDCE vlastenci a dôchodcovia,,1,Vladimír,Zeman,494,,
19,SRDCE vlastenci a dôchodcovia,,2,Jozef,Tokár,324,,
19,SRDCE vlastenci a dôchodcovia,,3,Ondrej,Kováč,225,,
19,SRDCE vlastenci a dôchodcovia,,4,Roman,Fajer,254,,
19,SRDCE vlastenci a dôchodcovia,,5,Peter,Ružinský,90,,
19,SRDCE vlastenci a dôchodcovia,,6,Milan,Hašan,115,,
19,SRDCE vlastenci a dôchodcovia,,7,Allan,Gavač,57,,
19,SRDCE vlastenci a dôchodcovia,,8,Estera,Žigmundová,112,,
19,SRDCE vlastenci a dôchodcovia,,9,Miloslav,Šegeda,91,,
19,SRDCE vlastenci a dôchodcovia,,10,Ľubomír,Gergeľ,78,,
19,SRDCE vlastenci a dôchodcovia,,11,Jozef,Nemec,48,,
19,SRDCE vlastenci a dôchodcovia,,12,Marian,Mikloško,126,,
19,SRDCE vlastenci a dôchodcovia,,13,Andrej,Kohaut,71,,
19,SRDCE vlastenci a dôchodcovia,,14,Branislav,Hlačok,80,,
19,SRDCE vlastenci a dôchodcovia,,15,Jaroslav,Šidlo,55,,
19,SRDCE vlastenci a dôchodcovia,,16,Ján,Kún,36,,
19,SRDCE vlastenci a dôchodcovia,,17,Ivan,Hamšík,63,,
19,SRDCE vlastenci a dôchodcovia,,18,Juraj,Medzihradský,64,,
19,SRDCE vlastenci a dôchodcovia,,19,Michal,Frančák,101,,
19,SRDCE vlastenci a dôchodcovia,,20,Ján,Zetocha,33,,
19,SRDCE vlastenci a dôchodcovia,,21,Magdaléna,Píriová,62,,
19,SRDCE vlastenci a dôchodcovia,,22,Zuzana,Furíková,69,,
19,SRDCE vlastenci a dôchodcovia,,23,Vladimír,Skalnický,29,,
19,SRDCE vlastenci a dôchodcovia,,24,Ján,Haluška,50,,
19,SRDCE vlastenci a dôchodcovia,,25,Viera,Kánová,24,,
19,SRDCE vlastenci a dôchodcovia,,26,Monika,Melegová,56,,
19,SRDCE vlastenci a dôchodcovia,,27,Igor,Lomen,47,,
19,SRDCE vlastenci a dôchodcovia,,28,Peter,Kertys,16,,
19,SRDCE vlastenci a dôchodcovia,,29,Miloš,Kočan,50,,
19,SRDCE vlastenci a dôchodcovia,,30,Marian,Bukoven,22,,
19,SRDCE vlastenci a dôchodcovia,,31,Eva,Šestáková,28,,
19,SRDCE vlastenci a dôchodcovia,,32,Lýdia,Frančáková,24,,
19,SRDCE vlastenci a dôchodcovia,,33,Stanislav,Pánis,42,,
19,SRDCE vlastenci a dôchodcovia,,34,Lucia,Hubináková,32,,
19,SRDCE vlastenci a dôchodcovia,,35,Roman,Longauer,34,,
19,SRDCE vlastenci a dôchodcovia,,36,Mária,Bobeková,16,,
19,SRDCE vlastenci a dôchodcovia,,37,Michal,Rosol,30,,
19,SRDCE vlastenci a dôchodcovia,,38,Zuzana,Fujasová,35,,
19,SRDCE vlastenci a dôchodcovia,,39,Ján,Petruška,29,,
19,SRDCE vlastenci a dôchodcovia,,40,Juraj,Bočko,14,,
19,SRDCE vlastenci a dôchodcovia,,41,Ingrid,Hudecová,43,,
19,SRDCE vlastenci a dôchodcovia,,42,Peter,Kovaľ,19,,
19,SRDCE vlastenci a dôchodcovia,,43,Ivan,Kocúr,30,,
19,SRDCE vlastenci a dôchodcovia,,44,Diana,Kornatová,63,,
19,SRDCE vlastenci a dôchodcovia,,45,Peter,Bucholcer,18,,
19,SRDCE vlastenci a dôchodcovia,,46,Mária,Schererová,18,,
19,SRDCE vlastenci a dôchodcovia,,47,Jozef,Maruškin,16,,
19,SRDCE vlastenci a dôchodcovia,,48,Ján,Hašan,23,,
19,SRDCE vlastenci a dôchodcovia,,49,Ján,Lukniš,17,,
19,SRDCE vlastenci a dôchodcovia,,50,Jozef,Kremnický,26,,
19,SRDCE vlastenci a dôchodcovia,,51,Martin,Šlavka,39,,
19,SRDCE vlastenci a dôchodcovia,,52,Radovan,Hudec,29,,
19,SRDCE vlastenci a dôchodcovia,,53,Mária,Kadlecová,21,,
19,SRDCE vlastenci a dôchodcovia,,54,Tomáš,Pál,22,,
19,SRDCE vlastenci a dôchodcovia,,55,Jozef,Srniak,19,,
19,SRDCE vlastenci a dôchodcovia,,56,Lýdia,Srniaková,25,,
19,SRDCE vlastenci a dôchodcovia,,57,Jozef,Karch,22,,
19,SRDCE vlastenci a dôchodcovia,,58,Pavel,Haulík,32,,
19,SRDCE vlastenci a dôchodcovia,,59,Ľudmila,Fiľová,20,,
19,SRDCE vlastenci a dôchodcovia,,60,Martin,Gallus,6,,
19,SRDCE vlastenci a dôchodcovia,,61,Ivana,Balcová,26,,
19,SRDCE vlastenci a dôchodcovia,,62,Juraj,Nepšinský,25,,
19,SRDCE vlastenci a dôchodcovia,,63,Natália,Balážová,26,,
19,SRDCE vlastenci a dôchodcovia,,64,Marta,Skalnická,29,,
19,SRDCE vlastenci a dôchodcovia,,65,Vladislav,Vavrík,14,,
19,SRDCE vlastenci a dôchodcovia,,66,Miroslav,Hanúsek,25,,
19,SRDCE vlastenci a dôchodcovia,,67,Ján,Kučeriak,21,,
19,SRDCE vlastenci a dôchodcovia,,68,Mária,Bartošová,13,,
19,SRDCE vlastenci a dôchodcovia,,69,Richard,Hiadlovský,14,,
19,SRDCE vlastenci a dôchodcovia,,70,Ján,Vajcík,14,,
19,SRDCE vlastenci a dôchodcovia,,71,Jana,Sýkorová,31,,
19,SRDCE vlastenci a dôchodcovia,,72,Ján,Švantner,14,,
19,SRDCE vlastenci a dôchodcovia,,73,Milan,Vitáloš,11,,
19,SRDCE vlastenci a dôchodcovia,,74,Veronika,Mikovínyová,34,,
19,SRDCE vlastenci a dôchodcovia,,75,Milan,Božik,10,,
19,SRDCE vlastenci a dôchodcovia,,76,Matej,Brunclík,29,,
19,SRDCE vlastenci a dôchodcovia,,77,Pavol,Majko,20,,
19,SRDCE vlastenci a dôchodcovia,,78,Terézia,Spišiaková,37,,
19,SRDCE vlastenci a dôchodcovia,,79,Vojtech,Kertész,14,,
19,SRDCE vlastenci a dôchodcovia,,80,Jakub,Juríček,20,,
19,SRDCE vlastenci a dôchodcovia,,81,Annamária,Tóthová Motošková,24,,
19,SRDCE vlastenci a dôchodcovia,,82,Ladislav,Müller,19,,
19,SRDCE vlastenci a dôchodcovia,,83,Miroslava,Hrabovská,11,,
19,SRDCE vlastenci a dôchodcovia,,84,Matej,Hudec,16,,
19,SRDCE vlastenci a dôchodcovia,,85,Mária,Šuhajdová,21,,
19,SRDCE vlastenci a dôchodcovia,,86,Gyula,Köles,20,,
19,SRDCE vlastenci a dôchodcovia,,87,Natália,Piliarová,26,,
19,SRDCE vlastenci a dôchodcovia,,88,Rudolf,Haulík,34,,
19,SRDCE vlastenci a dôchodcovia,,89,Zuzana,Mattová,8,,
19,SRDCE vlastenci a dôchodcovia,,90,Miroslav,Mihaliska,1,,
19,SRDCE vlastenci a dôchodcovia,,91,Anna,Ťupeková,4,,
19,SRDCE vlastenci a dôchodcovia,,92,Milan,Gabrhel,5,,
19,SRDCE vlastenci a dôchodcovia,,93,Eva,Vengerová,9,,
19,SRDCE vlastenci a dôchodcovia,,94,Milan,Venger,4,,
19,SRDCE vlastenci a dôchodcovia,,95,Juraj,Odor,8,,
19,SRDCE vlastenci a dôchodcovia,,96,Zuzana,Szabóová,4,,
19,SRDCE vlastenci a dôchodcovia,,97,Martin,Sedlák,7,,
19,SRDCE vlastenci a dôchodcovia,,98,Juraj,Čížik,9,,
19,SRDCE vlastenci a dôchodcovia,,99,Andrea,Paliatková,20,,
19,SRDCE vlastenci a dôchodcovia,,100,Peter,Haulík,57,,
20,SDKU - DS,,1,Branislav,Rybárik,254,,
20,SDKU - DS,,2,Ondrej,Klamo,112,,
20,SDKU - DS,,3,Petra,Laziciusová,105,,
20,SDKU - DS,,4,Patrik,Leško,136,,
20,SDKU - DS,,5,Elena,Potfajová,90,,
20,SDKU - DS,,6,Štefan,Matúška,127,,
20,SDKU - DS,,7,Peter,Prossek,87,,
20,SDKU - DS,,8,Janka,Štefanková,89,,
20,SDKU - DS,,9,Andrea,Polakovičová,60,,
20,SDKU - DS,,10,Ján,Rybárik,81,,
20,SDKU - DS,,11,Tomáš,Rybárik,92,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,1,Marek,Kotleba,14987,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,2,Rastislav,Schlosár,6908,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,3,Martin,Beluský,7362,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,4,Stanislav,Mizík,3077,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,5,Eleonóra,Kotlebová,1599,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,6,Rastislav,Kysel,678,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,7,Peter,Podhorský,447,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,8,František,Drozd,842,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,9,Katarína,Boková,6948,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,10,Miroslav,Heredoš,4314,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,11,Magdaléna,Sulanová,299,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,12,Marcel,Urban,591,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,13,Marián,Tkáč,1133,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,14,Andrea,Hudecová,464,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,15,Peter,Krupa,550,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,16,Dušan,Žiak,277,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,17,Miroslav,Ramšak,369,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,18,Andrej,Medvecký,527,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,19,Peter,Kováč,328,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,20,Anton,Grňo,238,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,21,Kristína,Laššáková,451,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,22,Štefan,Hudák,314,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,23,Katarína,Gajdošová,192,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,24,Mojmír,Macek,277,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,25,Marián,Klobušický,101,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,26,Juraj,Suja,503,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,27,Milan,Španír,228,,X
21,Kotlebovci - Ľudová strana Naše Slovensko,,28,Jana,Drengubiaková,173,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,29,Marián,Chmelár,211,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,30,Natália,Grausová,220,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,31,Simona,Domová,206,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,32,Emil,Lipa,108,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,33,Róbert,Bačinský,5270,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,34,Viktor,Jedlička,176,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,35,Peter,Stejskal,102,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,36,Karol,Repiský,113,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,37,Arpád,Sárközi,1028,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,38,Michal,Medveď,169,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,39,Jozef,Mikuš,76,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,40,Anton,Kysel,209,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,41,Oldřich,Havlík,147,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,42,Emil,Kupčík,132,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,43,Viliam,Púček,211,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,44,Juraj,Vajda,171,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,45,Daniel,Mikunda,91,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,46,Stanislav,Drobný,175,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,47,Ján,Harvilko,118,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,48,Beata,Brázová,97,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,49,Pavol,Chňapko,108,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,50,Ján,Jelínek,1343,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,51,Juraj,Bartoš,84,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,52,Peter,Kováč,114,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,53,Patrik,Hanečák,74,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,54,Pavol,Lazar,224,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,55,Blanka,Kristová,109,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,56,Monika,Čekanová,214,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,57,Klaudia,Hrušková,93,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,58,Radka,Žáková,153,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,59,Pavel,Švaňa,57,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,60,Miroslav,Potančok,121,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,61,Stanislava,Hrmová,91,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,62,Martin,Ferančík,123,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,63,Pavol,Bizík,61,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,64,František,Šuchaň,23,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,65,Pavol,Machata,100,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,66,Slavomír,Dlubač,136,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,67,Juraj,Oščenda,116,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,68,Mário,Fabo,44,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,69,Ivana,Lilková,61,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,70,Jozef,Kresila,39,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,71,Martin,Berák,66,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,72,Jaroslav,Dudáš,90,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,73,Peter,Kiss,60,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,74,Marcela,Kurucová,100,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,75,Jarmila,Točíková,68,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,76,Ján,Gyeneš,55,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,77,Ľubica,Dobišová,75,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,78,Mária,Vozárová,58,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,79,Ján,Brutovský,84,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,80,Iveta,Mireková,111,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,81,Stanislav,Tvorík,59,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,82,Róbert,Krajčovič,128,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,83,Matej,Javnický,105,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,84,Pavol,Lukačko,109,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,85,Vladimír,Krojer,30,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,86,Rastislav,Drozd,40,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,87,Janka,Rusnáková,31,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,88,Monika,Halásová,81,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,89,Ivan,Cupan,56,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,90,Jana,Hanigovská,61,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,91,Anton,Socha,61,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,92,Anna,Tatíková,15,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,93,Miroslav,Klimo,22,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,94,Miroslav Pavel,Šimek,11,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,95,Emília,Frolová,18,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,96,Boris,Kábele,11,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,97,Jozef,Vyletel,11,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,98,Monika,Stanovská,72,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,99,Ingrid,Tomková,94,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,100,Tomáš,Rudinský,74,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,101,Martin,Stankovianský,80,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,102,Ján,Klimant,13,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,103,Lukáš,Kandra,33,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,104,Ľubomír,Dlhý,10,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,105,Miroslav,Brada,36,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,106,Radovan,Jánošík,44,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,107,Jakub,Iždinský,17,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,108,Katarína,Kuzmová,109,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,109,František,Árvai,22,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,110,Soňa,Kremserová,16,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,111,Peter,Bahno,34,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,112,Miroslav,Cerovský,25,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,113,Marián,Tkáč,99,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,114,Štefan,Jurík,53,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,115,Ján,Baboľ,47,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,116,Mária,Tóthová,18,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,117,Dušan,Vidiečan,10,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,118,Dušan,Debnárik,27,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,119,Peter,Jób,21,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,120,Rastislav,Ilavský,39,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,121,Martina,Lipnická,18,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,122,Simona,Lapinová,107,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,123,Ján,Lašut,20,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,124,Peter,Karas,31,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,125,Stanislava,Zervanová,28,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,126,Alžběta,Držková,41,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,127,Vladimír,Bizoň,96,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,128,Martin,Kapsa,7,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,129,Ján,Chalama,20,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,130,Jozef,Duchoň,14,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,131,Anežka,Dančová,37,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,132,Miroslav,Veliký,42,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,133,Eduard,Brychta,13,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,134,Oľga,Libantová,21,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,135,Branislav,Šiko,29,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,136,Jozefína,Schlosárová,12,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,137,Martin,Palko,43,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,138,Blažena,Ištoková,16,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,139,Štefan,Bandy,38,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,140,Edita,Prachniarová,41,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,141,Mariana,Kubištová,33,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,142,Milan,Kováčik,464,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,143,Radovan,Mišeje,45,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,144,Roderik,Ledecký,99,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,145,Štefan,Cabuk,21,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,146,Miroslav,Rakyta,28,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,147,Slávka,Kružlicová,47,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,148,Branislava,Mailender,18,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,149,Mirko,Kašubjak,85,,
21,Kotlebovci - Ľudová strana Naše Slovensko,,150,Peter,Cavar,156,,
22,Demokrati,,1,Andrea,Letanovská,38438,,
22,Demokrati,,2,Eduard,Heger,44513,,
22,Demokrati,,3,Andrea,Cocherová,4951,,
22,Demokrati,,4,Jaroslav,Naď,44615,,
22,Demokrati,,5,Jana,Žitňanská,19686,,
22,Demokrati,,6,Miroslav,Kollár,3098,,
22,Demokrati,,7,Juraj,Šeliga,37862,,
22,Demokrati,,8,Pavel,Nechala,2074,,
22,Demokrati,,9,Monika,Podhorány Masariková,2154,,
22,Demokrati,,10,Ján,Šubák,921,,
22,Demokrati,,11,Jozef,Sýkora,983,,
22,Demokrati,,12,Ján,Budaj,6546,,
22,Demokrati,,13,Karel,Hirman,5721,,
22,Demokrati,,14,Branislav,Sitár,470,,
22,Demokrati,,15,Dorota,Nvotová,3516,,
22,Demokrati,,16,Kristián,Čekovský,1436,,
22,Demokrati,,17,Natália,Svítková,946,,
22,Demokrati,,18,Viliam,Novotný,1148,,
22,Demokrati,,19,Martin,Kvetko,441,,
22,Demokrati,,20,Andrej,Stančík,1629,,
22,Demokrati,,21,Anna,Mierna,398,,
22,Demokrati,,22,Róbert,Halák,201,,
22,Demokrati,,23,Michal,Kiča,890,,
22,Demokrati,,24,Richard,Nemec,342,,
22,Demokrati,,25,Daniel,Balko,282,,
22,Demokrati,,26,Jaromír,Šíbl,248,,
22,Demokrati,,27,Kristián,Čechmánek,464,,
22,Demokrati,,28,Pavol,Ľorko,241,,
22,Demokrati,,29,Anton,Piták,237,,
22,Demokrati,,30,Tomáš,Ščuka,224,,
22,Demokrati,,31,Rastislav,Hauliš,114,,
22,Demokrati,,32,Richard,Jánoš,193,,
22,Demokrati,,33,Matúš,Machan,245,,
22,Demokrati,,34,Marek,Polonec,139,,
22,Demokrati,,35,Jakub,Kubík,350,,
22,Demokrati,,36,Ján,Raclavský,315,,
22,Demokrati,,37,Michal,Greško,116,,
22,Demokrati,,38,Marko,Surkoš,383,,
22,Demokrati,,39,Peter,Goldberger,227,,
22,Demokrati,,40,Pavol,Strhák,185,,
22,Demokrati,,41,Slavomír,Novák,279,,
22,Demokrati,,42,Klára,Dynisová,888,,
22,Demokrati,,43,Peter,Varsányi,107,,
22,Demokrati,,44,Michal,Spevák,91,,
22,Demokrati,,45,Peter,Novoveský,94,,
22,Demokrati,,46,Radoslav,Pavelka,137,,
22,Demokrati,,47,Matej,Farbula,101,,
22,Demokrati,,48,Viera,Vančová,277,,
22,Demokrati,,49,Ján,Drahoš,297,,
22,Demokrati,,50,Ján,Kučera,146,,
22,Demokrati,,51,Eva,Pavliková,295,,
22,Demokrati,,52,Tomáš,Köppl,104,,
22,Demokrati,,53,Dominika,Tibenská,179,,
22,Demokrati,,54,Robert Erik,Kittler,137,,
22,Demokrati,,55,Jaroslav,Slaný,123,,
22,Demokrati,,56,Martin,Kalužák,87,,
22,Demokrati,,57,Juraj,Dobšovič,171,,
22,Demokrati,,58,Miloš,Šimončič,91,,
22,Demokrati,,59,Dezider,Balázs,57,,
22,Demokrati,,60,Magdaléna,Haburová,161,,
22,Demokrati,,61,Juraj,Čarný,148,,
22,Demokrati,,62,Martina,Sedliaková,378,,
22,Demokrati,,63,Radúz,Dula,211,,
22,Demokrati,,64,Pavol,Sabol,274,,
22,Demokrati,,65,Emil,Petrvalský,215,,
22,Demokrati,,66,Lukáš,Meravý,126,,
22,Demokrati,,67,Jozef,Oľha,247,,
22,Demokrati,,68,Anton,Švehla,43,,
22,Demokrati,,69,Viera,Dankovičová,66,,
22,Demokrati,,70,Vilibald,Žižak,66,,
22,Demokrati,,71,Jozef,Kis,208,,
22,Demokrati,,72,Igor,Kopáčik,67,,
22,Demokrati,,73,Ľuboš,Radakovič,37,,
22,Demokrati,,74,Hedviga,Markotánová,190,,
22,Demokrati,,75,Roman,Móric,86,,
22,Demokrati,,76,Filip,Ondrej,61,,
22,Demokrati,,77,Peter,Pastucha,102,,
22,Demokrati,,78,Pavol,Polák,40,,
22,Demokrati,,79,Viera,Psotková,34,,
22,Demokrati,,80,Valér,Dunda,102,,
22,Demokrati,,81,Martin,Javorček,85,,
22,Demokrati,,82,Ondrej,Sirota,81,,
22,Demokrati,,83,Peter,Dráb,93,,
22,Demokrati,,84,Katarína,Golodžejová,87,,
22,Demokrati,,85,Zuzana,Šavrnoch,42,,
22,Demokrati,,86,Milan,Simušiak,47,,
22,Demokrati,,87,Maroš,Mikuš,39,,
22,Demokrati,,88,Radovan,Huba,93,,
