Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Počet volebných okrskov,Počet potvrdených okrskových zápisníc,Podiel potvrdených okrskových zápisníc v %,Počet zapísaných voličov,Počet zúčastnených voličov,Účasť voličov v %,Počet odovzdaných obálok na hlasovanie,Podiel odovzdaných obálok v %,Počet platných hlasov spolu,Podiel platných hlasov spolu v %
6,Banskobystrický kraj,605,Veľký Krtíš,610,Veľký Krtíš,83,83,100.0,33591,20294,60.41,20283,99.94,20003,98.56
6,Banskobystrický kraj,606,Zvolen,604,Detva,44,44,100.0,25591,18144,70.89,18138,99.96,17953,98.94
6,Banskobystrický kraj,606,Zvolen,605,Krupina,45,45,100.0,17835,12155,68.15,12140,99.87,11968,98.46
6,Banskobystrický kraj,606,Zvolen,611,Zvolen,75,75,100.0,53371,37374,70.02,37348,99.93,37020,99.05
6,Banskobystrický kraj,607,Žiar nad Hronom,602,Banská Štiavnica,23,23,100.0,13294,9129,68.67,9116,99.85,8983,98.4
6,Banskobystrický kraj,607,Žiar nad Hronom,612,Žarnovica,35,35,100.0,20735,14508,69.96,14498,99.93,14291,98.5
6,Banskobystrický kraj,607,Žiar nad Hronom,613,Žiar nad Hronom,56,56,100.0,36326,25177,69.3,25155,99.91,24841,98.66
7,Prešovský kraj,701,Bardejov,701,Bardejov,116,116,100.0,58308,39693,68.07,39671,99.94,39218,98.8
7,Prešovský kraj,702,Humenné,702,Humenné,87,87,100.0,47476,30653,64.56,30624,99.9,30288,98.8
7,Prešovský kraj,702,Humenné,705,Medzilaborce,30,30,100.0,8851,5415,61.17,5410,99.9,5336,98.54
7,Prešovský kraj,702,Humenné,709,Snina,48,48,100.0,28061,17472,62.26,17465,99.95,17246,98.7
7,Prešovský kraj,703,Kežmarok,703,Kežmarok,68,68,100.0,53635,34294,63.93,34251,99.87,33707,98.28
7,Prešovský kraj,704,Poprad,704,Levoča,47,47,100.0,25541,16462,64.45,16437,99.84,16218,98.51
7,Prešovský kraj,704,Poprad,706,Poprad,93,93,100.0,82982,56416,67.98,56349,99.88,55629,98.6
7,Prešovský kraj,705,Prešov,707,Prešov,170,169,99.41,130641,90673,69.4,90580,99.89,89376,98.56
7,Prešovský kraj,705,Prešov,708,Sabinov,63,63,100.0,43839,30155,68.78,30127,99.9,29703,98.5
7,Prešovský kraj,706,Stará Ľubovňa,710,Stará Ľubovňa,62,62,100.0,39279,25447,64.78,25435,99.95,25136,98.77
7,Prešovský kraj,707,Stropkov,711,Stropkov,52,52,100.0,15507,10194,65.73,10184,99.9,10060,98.68
7,Prešovský kraj,708,Svidník,712,Svidník,78,78,100.0,24824,16350,65.86,16327,99.85,16133,98.67
7,Prešovský kraj,709,Vranov nad Topľou,713,Vranov nad Topľou,93,93,100.0,60404,39731,65.77,39695,99.9,39151,98.54
8,Košický kraj,801,Košice,802,Košice I,59,59,100.0,51231,33725,65.82,33680,99.86,33408,99.06
8,Košický kraj,801,Košice,803,Košice II,60,60,100.0,62301,38554,61.88,38513,99.89,38156,98.96
8,Košický kraj,801,Košice,804,Košice III,22,22,100.0,22865,14006,61.25,13981,99.82,13892,99.18
8,Košický kraj,801,Košice,805,Košice IV,52,52,100.0,47112,30732,65.23,30694,99.87,30394,98.9
8,Košický kraj,802,Košice - okolie,806,Košice - okolie,149,149,100.0,99663,63488,63.7,63399,99.85,62255,98.05
8,Košický kraj,803,Michalovce,807,Michalovce,131,131,100.0,84325,48329,57.31,48292,99.92,47677,98.65
8,Košický kraj,803,Michalovce,809,Sobrance,52,52,100.0,17345,11196,64.54,11165,99.72,11005,98.29
8,Košický kraj,804,Rožňava,808,Rožňava,88,88,100.0,46301,26008,56.17,25983,99.9,25547,98.22
8,Košický kraj,805,Spišská Nová Ves,801,Gelnica,32,32,100.0,23443,13903,59.3,13878,99.82,13653,98.2
8,Košický kraj,805,Spišská Nová Ves,810,Spišská Nová Ves,82,82,100.0,72918,44930,61.61,44852,99.82,44142,98.24
8,Košický kraj,806,Trebišov,811,Trebišov,128,128,100.0,79888,44317,55.47,44288,99.93,43484,98.12
9,Cudzina,900,Cudzina,900,Cudzina,18,18,100.0,59730,58779,98.4,58333,99.24,57856,98.42
