Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Počet platných hlasov spolu,Počet platných hlasov za Piráti,Podiel platných hlasov v % za Piráti,Počet platných hlasov za PRINCÍP,Podiel platných hlasov v % za PRINCÍP,Počet platných hlasov za PS,Podiel platných hlasov v % za PS,Počet platných hlasov za SOS,Podiel platných hlasov v % za SOS,"Počet platných hlasov za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ","Podiel platných hlasov v % za OĽANO A PRIATELIA, KÚ a ZA ĽUDÍ",Počet platných hlasov za KSS,Podiel platných hlasov v % za KSS,"Počet platných hlasov za MF, ODS, ZR, RK, DS","Podiel platných hlasov v % za MF, ODS, ZR, RK, DS",Počet platných hlasov za VB,Podiel platných hlasov v % za VB,Počet platných hlasov za MM,Podiel platných hlasov v % za MM,Počet platných hlasov za SPRAVODLIVOSŤ,Podiel platných hlasov v % za SPRAVODLIVOSŤ,Počet platných hlasov za SHO,Podiel platných hlasov v % za SHO,Počet platných hlasov za SaS,Podiel platných hlasov v % za SaS,Počet platných hlasov za SME RODINA,Podiel platných hlasov v % za SME RODINA,Počet platných hlasov za MySlovensko,Podiel platných hlasov v % za MySlovensko,Počet platných hlasov za SNS,Podiel platných hlasov v % za SNS,Počet platných hlasov za SMER - SD,Podiel platných hlasov v % za SMER - SD,Počet platných hlasov za HLAS - SD,Podiel platných hlasov v % za HLAS - SD,Počet platných hlasov za SZÖVETSÉG - ALIANCIA,Podiel platných hlasov v % za SZÖVETSÉG - ALIANCIA,Počet platných hlasov za SRDCE - SNJ,Podiel platných hlasov v % za SRDCE - SNJ,Počet platných hlasov za SDKÚ - DS,Podiel platných hlasov v % za SDKÚ - DS,Počet platných hlasov za ĽSNS,Podiel platných hlasov v % za ĽSNS,Počet platných hlasov za Demokrati,Podiel platných hlasov v % za Demokrati,Počet platných hlasov za KDH,Podiel platných hlasov v % za KDH,Počet platných hlasov za KARMA,Podiel platných hlasov v % za KARMA,Počet platných hlasov za REPUBLIKA,Podiel platných hlasov v % za REPUBLIKA
7,Prešovský kraj,704,Poprad,706,Poprad,55629,145,0.26,32,0.05,9810,17.63,52,0.09,6830,12.27,232,0.41,20,0.03,12.0,0.02,59,0.1,18,0.03,34,0.06,3426,6.15,1230,2.21,39,0.07,3305,5.94,10477,18.83,7693,13.82,67,0.12,47,0.08,13.0,0.02,343,0.61,1766,3.17,6708,12.05,52,0.09,3219,5.78
7,Prešovský kraj,705,Prešov,707,Prešov,89376,336,0.37,91,0.1,13348,14.93,79,0.08,11396,12.75,237,0.26,38,0.04,24.0,0.02,130,0.14,39,0.04,29,0.03,4806,5.37,2659,2.97,48,0.05,4798,5.36,15418,17.25,13810,15.45,64,0.07,33,0.03,44.0,0.04,545,0.6,3543,3.96,13798,15.43,67,0.07,3996,4.47
7,Prešovský kraj,705,Prešov,708,Sabinov,29703,99,0.33,25,0.08,2225,7.49,26,0.08,5581,18.78,75,0.25,19,0.06,16.0,0.05,14,0.04,17,0.05,10,0.03,915,3.08,660,2.22,23,0.07,1779,5.98,5944,20.01,5079,17.09,14,0.04,16,0.05,7.0,0.02,171,0.57,623,2.09,4782,16.09,14,0.04,1569,5.28
7,Prešovský kraj,706,Stará Ľubovňa,710,Stará Ľubovňa,25136,85,0.33,19,0.07,1808,7.19,15,0.05,3869,15.39,83,0.33,11,0.04,8.0,0.03,19,0.07,11,0.04,5,0.01,761,3.02,415,1.65,23,0.09,1562,6.21,5835,23.21,3908,15.54,8,0.03,12,0.04,5.0,0.01,149,0.59,571,2.27,4408,17.53,10,0.03,1536,6.11
7,Prešovský kraj,707,Stropkov,711,Stropkov,10060,32,0.31,53,0.52,744,7.39,26,0.25,1098,10.91,43,0.42,9,0.08,,,6,0.05,2,0.01,3,0.02,338,3.35,302,3.0,13,0.12,820,8.15,2714,26.97,1729,17.18,7,0.06,10,0.09,5.0,0.04,76,0.75,249,2.47,1268,12.6,7,0.06,506,5.02
7,Prešovský kraj,708,Svidník,712,Svidník,16133,49,0.3,31,0.19,1095,6.78,28,0.17,2178,13.5,67,0.41,3,0.01,5.0,0.03,7,0.04,7,0.04,16,0.09,470,2.91,387,2.39,9,0.05,1028,6.37,4754,29.46,3309,20.51,9,0.05,11,0.06,2.0,0.01,94,0.58,274,1.69,1532,9.49,3,0.01,765,4.74
7,Prešovský kraj,709,Vranov nad Topľou,713,Vranov nad Topľou,39151,92,0.23,73,0.18,2610,6.66,23,0.05,7643,19.52,120,0.3,21,0.05,10.0,0.02,39,0.09,7,0.01,10,0.02,999,2.55,859,2.19,22,0.05,2299,5.87,10737,27.42,6882,17.57,20,0.05,16,0.04,12.0,0.03,279,0.71,656,1.67,3624,9.25,13,0.03,2085,5.32
8,Košický kraj,801,Košice,802,Košice I,33408,82,0.24,24,0.07,9051,27.09,18,0.05,2679,8.01,77,0.23,26,0.07,8.0,0.02,136,0.4,22,0.06,25,0.07,3577,10.7,733,2.19,29,0.08,1429,4.27,5523,16.53,4062,12.15,501,1.49,13,0.03,7.0,0.02,215,0.64,1420,4.25,2359,7.06,27,0.08,1365,4.08
8,Košický kraj,801,Košice,803,Košice II,38156,90,0.23,22,0.05,8672,22.72,22,0.05,4027,10.55,99,0.25,48,0.12,6.0,0.01,113,0.29,20,0.05,26,0.06,3591,9.41,952,2.49,19,0.04,1702,4.46,6879,18.02,5108,13.38,406,1.06,19,0.04,11.0,0.02,220,0.57,1624,4.25,2817,7.38,39,0.1,1624,4.25
8,Košický kraj,801,Košice,804,Košice III,13892,32,0.23,8,0.05,2883,20.75,11,0.07,1194,8.59,33,0.23,13,0.09,5.0,0.03,40,0.28,6,0.04,6,0.04,1116,8.03,498,3.58,17,0.12,671,4.83,2741,19.73,2164,15.57,128,0.92,5,0.03,2.0,0.01,89,0.64,634,4.56,977,7.03,10,0.07,609,4.38
8,Košický kraj,801,Košice,805,Košice IV,30394,74,0.24,19,0.06,7106,23.37,22,0.07,2781,9.14,81,0.26,38,0.12,6.0,0.01,99,0.32,14,0.04,13,0.04,2750,9.04,824,2.71,18,0.05,1388,4.56,5618,18.48,4052,13.33,396,1.3,11,0.03,7.0,0.02,231,0.76,1307,4.3,2320,7.63,24,0.07,1195,3.93
8,Košický kraj,802,Košice - okolie,806,Košice - okolie,62255,274,0.44,76,0.12,7791,12.51,62,0.09,11685,18.76,171,0.27,149,0.23,23.0,0.03,180,0.28,33,0.05,42,0.06,3243,5.2,2028,3.25,42,0.06,2541,4.08,11336,18.2,9114,14.63,3591,5.76,27,0.04,25.0,0.04,488,0.78,1825,2.93,4115,6.6,41,0.06,3353,5.38
8,Košický kraj,803,Michalovce,807,Michalovce,47677,164,0.34,77,0.16,4193,8.79,31,0.06,6545,13.72,184,0.38,56,0.11,36.0,0.07,336,0.7,21,0.04,30,0.06,1828,3.83,1089,2.28,35,0.07,2180,4.57,13458,28.22,8021,16.82,2844,5.96,32,0.06,7.0,0.01,342,0.71,1073,2.25,2773,5.81,23,0.04,2299,4.82
8,Košický kraj,803,Michalovce,809,Sobrance,11005,41,0.37,14,0.12,585,5.31,6,0.05,1118,10.15,35,0.31,11,0.09,2.0,0.01,16,0.14,6,0.05,3,0.02,264,2.39,616,5.59,8,0.07,627,5.69,3883,35.28,2330,21.17,7,0.06,9,0.08,3.0,0.02,65,0.59,163,1.48,636,5.77,12,0.1,545,4.95
8,Košický kraj,804,Rožňava,808,Rožňava,25547,184,0.72,40,0.15,2965,11.6,26,0.1,3810,14.91,131,0.51,65,0.25,12.0,0.04,129,0.5,12,0.04,18,0.07,949,3.71,613,2.39,14,0.05,1014,3.96,4462,17.46,4003,15.66,4275,16.73,27,0.1,2.0,0.0,223,0.87,587,2.29,405,1.58,24,0.09,1557,6.09
8,Košický kraj,805,Spišská Nová Ves,801,Gelnica,13653,78,0.57,21,0.15,1275,9.33,11,0.08,2368,17.34,68,0.49,16,0.11,8.0,0.05,24,0.17,4,0.02,6,0.04,419,3.06,396,2.9,13,0.09,647,4.73,3394,24.85,2549,18.66,14,0.1,12,0.08,6.0,0.04,154,1.12,258,1.88,887,6.49,15,0.1,1010,7.39
8,Košický kraj,805,Spišská Nová Ves,810,Spišská Nová Ves,44142,170,0.38,32,0.07,5547,12.56,36,0.08,7196,16.3,159,0.36,22,0.04,13.0,0.02,50,0.11,27,0.06,24,0.05,2083,4.71,1082,2.45,82,0.18,2280,5.16,8933,20.23,6842,15.49,35,0.07,24,0.05,10.0,0.02,479,1.08,1172,2.65,5037,11.41,25,0.05,2782,6.3
8,Košický kraj,806,Trebišov,811,Trebišov,43484,283,0.65,150,0.34,3324,7.64,42,0.09,5575,12.82,185,0.42,82,0.18,24.0,0.05,85,0.19,23,0.05,13,0.02,1065,2.44,1177,2.7,21,0.04,1466,3.37,10525,24.2,6609,15.19,7585,17.44,19,0.04,16.0,0.03,264,0.6,800,1.83,2403,5.52,12,0.02,1736,3.99
9,Cudzina,900,Cudzina,900,Cudzina,57856,90,0.15,8,0.01,35701,61.7,9,0.01,2208,3.81,27,0.04,38,0.06,13.0,0.02,198,0.34,6,0.01,11,0.01,6252,10.8,323,0.55,70,0.12,2197,3.79,3531,6.1,1428,2.46,274,0.47,11,0.01,,,225,0.38,1448,2.5,1920,3.31,16,0.02,1852,3.2
